# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Cup Apps,Cup Goals,Total Apps,Total Goals
Eclair de Douala,1968–69,Première Division,28.0,1.0,,,,
Eclair de Douala,1969–70,Première Division,29.0,5.0,,,,
Eclair de Douala,Total,Total,57.0,6.0,,,,
Léopard Douala,1970–71,Première Division,29.0,25.0,,,,
Léopard Douala,1971–72,Première Division,30.0,20.0,,,,
Léopard Douala,1972–73,Première Division,28.0,19.0,,,,
Léopard Douala,1973–74,Première Division,30.0,25.0,,,,
Léopard Douala,Total,Total,117.0,89.0,,,,
Tonnerre Yaoundé,1974–75,Première Division,29.0,23.0,,,,
Tonnerre Yaoundé,1975–76,Première Division,28.0,26.0,,,,
Tonnerre Yaoundé,1976–77,Première Division,30.0,20.0,,,,
Tonnerre Yaoundé,Total,Total,87.0,69.0,,,,
Valenciennes,1977–78,Division 1,0.0,0.0,,,,
Valenciennes,1978–79,Division 1,28.0,6.0,1.0,1.0,,
Valenciennes,Total,Total,28.0,6.0,1.0,1.0,,
Monaco,1979–80,Division 1,17.0,2.0,8.0,3.0,,
Bastia,1980–81,Division 1,30.0,9.0,9.0,8.0,,
Bastia,1981–82,Division 1,23.0,8.0,6.0,3.0,,
Bastia,1982–83,Division 1,29.0,13.0,2.0,0.0,,
Bastia,1983–84,Division 1,31.0,5.0,3.0,1.0,,
Bastia,Total,Total,113.0,30.0,20.0,12.0,,
Saint-Étienne,1984–85,Division 2,31.0,22.0,8.0,3.0,,
Saint-Étienne,1985–86,Division 2,28.0,9.0,2.0,2.0,,
Saint-Étienne,Total,Total,59.0,31.0,10.0,5.0,,
Montpellier,1986–87,Division 2,33.0,18.0,2.0,1.0,,
Montpellier,1987–88,Division 1,33.0,12.0,4.0,3.0,,
Montpellier,1988–89,Division 1,29.0,7.0,2.0,0.0,,
Montpellier,Total,Total,95.0,37.0,8.0,4.0,,
Saint-Pierroise,1989,,,,,,,
Saint-Pierroise,1990,D1 Pro,23.0,8.0,,,,
Saint-Pierroise,Total,Total,23.0,8.0,,,,
Tonnerre Yaoundé,1990–91,Première Division,29.0,22.0,,,,
Tonnerre Yaoundé,1991–92,Première Division,30.0,19.0,,,,
Tonnerre Yaoundé,1992–93,Première Division,27.0,23.0,,,,
Tonnerre Yaoundé,1993–94,Première Division,30.0,25.0,,,,
Tonnerre Yaoundé,Total,Total,116.0,89.0,,,,
Pelita Jaya,1994–95,Premier Division,23.0,23.0,,,,
Putra Samarinda,1995–96,Premier Division,12.0,18.0,,,,
Career total,Career total,Career total,747.0,413.0,47.0,25.0,794.0,438.0
