# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Anderlecht,2008–09,Belgian First Division,1,0,0,0,—,—,0,0,—,—,1,0
Anderlecht,2009–10,Belgian Pro League,33,15,1,0,—,—,11,4,—,—,45,19
Anderlecht,2010–11,Belgian Pro League,37,16,2,0,—,—,11,4,—,—,50,20
Anderlecht,2011–12,Belgian Pro League,2,2,—,—,—,—,—,—,—,—,2,2
Anderlecht,Total,Total,73,33,3,0,—,—,22,8,—,—,98,41
Chelsea,2011–12,Premier League,8,0,1,0,3,0,0,0,—,—,12,0
Chelsea,2013–14,Premier League,2,0,—,—,—,—,—,—,1,0,3,0
Chelsea,Total,Total,10,0,1,0,3,0,0,0,1,0,15,0
West Bromwich Albion (loan),2012–13,Premier League,35,17,2,0,1,0,—,—,—,—,38,17
Everton (loan),2013–14,Premier League,31,15,1,1,1,0,—,—,—,—,33,16
Everton,2014–15,Premier League,36,10,2,2,1,0,9,8,—,—,48,20
Everton,2015–16,Premier League,37,18,3,3,6,4,—,—,—,—,46,25
Everton,2016–17,Premier League,37,25,1,1,1,0,—,—,—,—,39,26
Everton,Total,Total,141,68,7,7,9,4,9,8,—,—,166,87
Manchester United,2017–18,Premier League,34,16,6,5,2,0,8,5,1,1,51,27
Manchester United,2018–19,Premier League,32,12,3,1,1,0,9,2,—,—,45,15
Manchester United,Total,Total,66,28,9,6,3,0,17,7,1,1,96,42
Inter Milan,2019–20,Serie A,36,23,4,2,—,—,11,9,—,—,51,34
Inter Milan,2020–21,Serie A,36,24,3,2,—,—,5,4,—,—,44,30
Inter Milan,Total,Total,72,47,7,4,—,—,16,13,—,—,95,64
Chelsea,2021–22,Premier League,26,8,6,3,4,0,6,2,2,2,44,15
Inter Milan (loan),2022–23,Serie A,25,10,4,1,—,—,8,3,0,0,37,14
Roma (loan),2023–24,Serie A,32,13,2,1,—,—,13,7,—,—,47,21
Napoli,2024–25,Serie A,36,14,2,0,—,—,—,—,—,—,38,14
Napoli,2025–26,Serie A,0,0,0,0,—,—,0,0,0,0,0,0
Napoli,Total,Total,36,14,2,0,—,—,0,0,0,0,38,14
Career total,Career total,Career total,517,238,42,21,20,4,91,48,4,3,674,314
