# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Ajax,1987–88,Eredivisie,1,1,0.0,0.0,–,–,,,,,1,1
Ajax,1988–89,Eredivisie,17,5,1.0,0.0,–,–,,,,,18,5
Ajax,1989–90,Eredivisie,20,7,3.0,0.0,–,–,2.0,0.0,,,25,7
Ajax,1990–91,Eredivisie,14,1,3.0,0.0,–,–,,,,,17,1
Ajax,Total,Total,52,14,7.0,0.0,0,0,2.0,0.0,0,0,61,14
Twente,1991–92,Eredivisie,33,11,1.0,0.0,–,–,,,,,34,11
Twente,1992–93,Eredivisie,16,11,2.0,0.0,–,–,,,,,18,11
Twente,Total,Total,49,22,3.0,0.0,0,0,0.0,0.0,0,0,52,22
Ajax,1992–93,Eredivisie,15,5,3.0,0.0,–,–,,,,,18,5
Ajax,1993–94,Eredivisie,28,5,4.0,2.0,–,–,6.0,2.0,1,0,39,9
Ajax,1994–95,Eredivisie,25,5,3.0,4.0,–,–,10.0,2.0,1,0,39,11
Ajax,1995–96,Eredivisie,31,7,1.0,1.0,–,–,11.0,1.0,3,1,46,10
Ajax,1996–97,Eredivisie,28,5,1.0,0.0,–,–,10.0,1.0,1,0,40,6
Ajax,1997–98,Eredivisie,31,7,4.0,0.0,–,–,8.0,0.0,–,–,43,7
Ajax,1998–99,Eredivisie,15,2,1.0,0.0,–,–,6.0,0.0,,,22,2
Ajax,Total,Total,173,36,17.0,7.0,0,0,51.0,6.0,6,1,247,50
Barcelona,1998–99,La Liga,13,0,4.0,1.0,–,–,,,,,17,1
Barcelona,1999–2000,La Liga,20,1,6.0,0.0,–,–,11.0,0.0,1,1,38,2
Barcelona,Total,Total,33,1,10.0,1.0,0,0,11.0,0.0,1,1,55,3
Rangers,2000–01,Scottish Premier League,17,6,1.0,0.0,1,0,7.0,1.0,–,–,26,7
Rangers,2001–02,Scottish Premier League,25,8,4.0,0.0,3,0,7.0,2.0,–,–,39,10
Rangers,2002–03,Scottish Premier League,33,16,5.0,1.0,3,1,2.0,2.0,–,–,43,20
Rangers,2003–04,Scottish Premier League,16,2,2.0,1.0,1,0,2.0,0.0,–,–,21,3
Rangers,Total,Total,91,32,12.0,2.0,8,1,18.0,5.0,0,0,129,40
Al-Rayyan,2004–05,Qatar Stars League,22,3,,,,,,,–,–,22,3
Al-Shamal,2005–06,Qatar Stars League,17,5,,,,,,,–,–,22,3
Al-Shamal,2006–07,Qatar Stars League,24,3,,,,,,,–,–,22,3
Al-Shamal,2007–08,Qatar Stars League,15,0,,,,,,,–,–,22,3
Al-Shamal,Total,Total,56,8,0.0,0.0,0,0,0.0,0.0,0,0,56,8
Career total,Career total,Career total,476,116,49.0,10.0,8,1,82.0,11.0,7,2,622,140
