# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Bordeaux,1988–89,Division 1,16,0,1,0,–,–,0,0,–,–,17,0
Bordeaux,1989–90,Division 1,38,2,4,0,–,–,–,–,–,–,42,2
Bordeaux,1990–91,Division 1,35,2,1,0,–,–,6,0,–,–,42,2
Bordeaux,1991–92,Division 2,33,0,3,0,–,–,–,–,–,–,36,0
Bordeaux,1992–93,Division 1,35,4,3,0,–,–,–,–,–,–,38,4
Bordeaux,1993–94,Division 1,32,9,3,0,–,–,6,0,–,–,41,9
Bordeaux,1994–95,Division 1,32,2,2,1,1,0,4,0,–,–,39,3
Bordeaux,1995–96,Division 1,23,3,0,0,0,0,10,1,7,4,40,8
Bordeaux,Total,Total,244,22,17,1,1,0,26,1,7,4,295,28
Athletic Bilbao,1996–97,La Liga,16,0,2,0,–,–,–,–,–,–,18,0
Bayern Munich,1997–98,Bundesliga,19,0,3,0,2,0,2,0,–,–,24,0
Bayern Munich,1998–99,Bundesliga,19,2,5,1,0,0,9,0,–,–,33,3
Bayern Munich,1999–2000,Bundesliga,22,1,1,0,0,0,10,0,–,–,33,1
Bayern Munich,2000–01,Bundesliga,15,0,1,0,0,0,10,0,–,–,26,0
Bayern Munich,2001–02,Bundesliga,25,1,1,0,0,0,12,0,2,0,40,1
Bayern Munich,2002–03,Bundesliga,26,2,5,0,0,0,3,0,–,–,34,2
Bayern Munich,2003–04,Bundesliga,26,1,1,0,0,0,8,0,–,–,35,1
Bayern Munich,Total,Total,152,7,17,1,2,0,54,0,2,0,227,8
Marseille,2004–05,Ligue 1,14,0,0,0,1,0,–,–,–,–,15,0
Bayern Munich,2004–05,Bundesliga,13,0,2,0,0,0,4,0,–,–,19,0
Bayern Munich,2005–06,Bundesliga,18,0,2,0,1,0,6,0,–,–,27,0
Bayern Munich,Total,Total,31,0,4,0,1,0,10,0,–,–,46,0
Career total,Career total,Career total,457,29,40,2,5,0,90,1,9,4,601,36
