# List of international goals scored by Ronald Koeman
No.,Date,Venue,Opponent,Score,Result,Competition
1,7 September 1983,"Oosterpark Stadion, Groningen, Netherlands",Iceland,1–0,3–0,UEFA Euro 1984 qualifier
2,9 December 1987,"Stadion De Meer, Amsterdam, Netherlands",Cyprus,3–0,4–0,UEFA Euro 1988 qualifier
3,16 December 1987,"Diagoras Stadium, Rhodes, Greece",Greece,1–0,3–0,UEFA Euro 1988 qualifier
4,21 June 1988,"Volksparkstadion, Hamburg, West Germany",West Germany,1–1,2–1,UEFA Euro 1988
5,22 March 1989,"Philips Stadion, Eindhoven, Netherlands",Soviet Union,2–0,2–0,Friendly
6,6 September 1989,"Olympisch Stadion, Amsterdam, Netherlands",Denmark,1–0,2–2,Friendly
7,15 November 1989,"De Kuip, Rotterdam, Netherlands",Finland,3–0,3–0,1990 FIFA World Cup qualifier
8,28 March 1990,"Republican Stadium, Kyiv, Ukraine",Soviet Union,1–1,1–2,Friendly
9,30 May 1990,"Praterstadion, Vienna, Austria",Austria,1–3,2–3,Friendly
10,24 June 1990,"San Siro, Milan, Italy",West Germany,1–2,1–2,1990 FIFA World Cup
11,22 September 1993,"Stadio Renato Dall'Ara, Bologna, Italy",San Marino,7–0,7–0,1994 FIFA World Cup qualifier
12,13 October 1993,"De Kuip, Rotterdam, Netherlands",England,1–0,2–0,1994 FIFA World Cup qualifier
13,19 January 1994,"Stade El Menzah, Tunis, Tunisia",Tunisia,2–2,2–2,Friendly
14,1 June 1994,"Philips Stadion, Eindhoven, Netherlands",Hungary,3–1,7–1,Friendly
