# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Regional league Apps,Regional league Goals,Cup Apps,Cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Grêmio,1998,Brasileirão,14,1,7,2,2,0,15,3,—,—,38,6
Grêmio,1999,Brasileirão,17,4,17,15,3,0,4,2,6,1,47,22
Grêmio,2000,Brasileirão,21,14,13,11,3,3,—,—,—,—,37,28
Grêmio,2001,Brasileirão,—,—,—,—,—,—,—,—,3,2,3,2
Grêmio,Total,Total,52,19,37,28,8,3,19,5,9,3,125,58
Paris Saint-Germain,2001–02,Ligue 1,28,9,—,—,6,2,6,2,—,—,40,13
Paris Saint-Germain,2002–03,Ligue 1,27,8,—,—,6,3,4,1,—,—,37,12
Paris Saint-Germain,Total,Total,55,17,—,—,12,5,10,3,—,—,77,25
Barcelona,2003–04,La Liga,32,15,—,—,6,3,7,4,—,—,45,22
Barcelona,2004–05,La Liga,35,9,—,—,—,—,7,4,—,—,42,13
Barcelona,2005–06,La Liga,29,17,—,—,2,1,12,7,2,1,45,26
Barcelona,2006–07,La Liga,32,21,—,—,4,0,8,2,5,1,49,24
Barcelona,2007–08,La Liga,17,8,—,—,1,0,8,1,—,—,26,9
Barcelona,Total,Total,145,70,—,—,13,4,42,18,7,2,207,94
AC Milan,2008–09,Serie A,29,8,—,—,1,0,6,2,—,—,36,10
AC Milan,2009–10,Serie A,36,12,—,—,—,—,7,3,—,—,43,15
AC Milan,2010–11,Serie A,11,0,—,—,—,—,5,1,—,—,16,1
AC Milan,Total,Total,76,20,—,—,1,0,18,6,—,—,95,26
Flamengo,2011,Brasileirão,31,14,13,4,5,1,3,2,—,—,52,21
Flamengo,2012,Brasileirão,2,1,10,4,—,—,8,2,—,—,20,7
Flamengo,Total,Total,33,15,23,8,5,1,11,4,—,—,72,28
Atlético Mineiro,2012,Brasileirão,32,9,—,—,—,—,—,—,—,—,32,9
Atlético Mineiro,2013,Brasileirão,14,7,6,4,2,0,14,4,2,2,38,17
Atlético Mineiro,2014,Brasileirão,2,0,4,0,—,—,7,1,2,0,15,1
Atlético Mineiro,Total,Total,48,16,10,4,2,0,21,5,4,2,85,27
Querétaro,2014–15,Liga MX,25,8,—,—,4,0,—,—,—,—,29,8
Fluminense,2015,Brasileirão,7,0,—,—,2,0,—,—,—,—,9,0
Career total,Career total,Career total,441,165,70,40,47,13,121,41,20,7,699,266
