# International goals by number, cap, date, venue, opponent, score, result and competition
No.,Cap,Date,Venue,Opponent,Score,Result,Competition,Ref.
1,2,30 June 1999,"Estádio 3 de Febrero, Ciudad del Este, Paraguay",Venezuela,5–0,5–0,1999 Copa América,
2,6,24 July 1999,"Estadio Jalisco, Guadalajara, Mexico",Germany,2–0,4–0,1999 FIFA Confederations Cup,
3,7,28 July 1999,"Estadio Jalisco, Guadalajara, Mexico",United States,1–0,1–0,1999 FIFA Confederations Cup,
4,8,30 July 1999,"Estadio Jalisco, Guadalajara, Mexico",New Zealand,2–0,2–0,1999 FIFA Confederations Cup,
5,9,1 August 1999,"Estadio Jalisco, Guadalajara, Mexico",Saudi Arabia,2–0,8–2,1999 FIFA Confederations Cup,
6,9,1 August 1999,"Estadio Jalisco, Guadalajara, Mexico",Saudi Arabia,6–2,8–2,1999 FIFA Confederations Cup,
7,9,1 August 1999,"Estadio Jalisco, Guadalajara, Mexico",Saudi Arabia,8–2,8–2,1999 FIFA Confederations Cup,
8,14,23 February 2000,"Rajamangala Stadium, Bangkok, Thailand",Thailand,3–0,7–0,2000 King's Cup,
9,19,3 March 2001,"Rose Bowl Stadium, Pasadena, United States",United States,1–0,2–1,Friendly,
10,24,17 April 2002,"Estádio da Luz, Lisbon, Portugal",Portugal,1–1,1–1,Friendly,
11,27,8 June 2002,"Jeju World Cup Stadium, Seogwipo, South Korea",China,3–0,4–0,2002 FIFA World Cup,
12,29,21 June 2002,"Shizuoka Stadium, Shizuoka, Japan",England,2–1,2–1,2002 FIFA World Cup,
13,32,20 November 2002,"Seoul World Cup Stadium, Seoul, South Korea",South Korea,3–2,3–2,Friendly,
14,34,29 March 2003,"Estádio das Antas, Porto, Portugal",Portugal,1–1,1–2,Friendly,
15,40,10 September 2003,"Vivaldão, Manaus, Brazil",Ecuador,1-0,1–0,2006 FIFA World Cup qualification,
16,43,28 April 2004,"Ferenc Puskás Stadium, Budapest, Hungary",Hungary,4–1,4–1,Friendly,
17,45,18 August 2004,"Stade Sylvio Cator, Port-au-Prince, Haiti",Haiti,2–0,6–0,Friendly,
18,45,18 August 2004,"Stade Sylvio Cator, Port-au-Prince, Haiti",Haiti,4–0,6–0,Friendly,
19,45,18 August 2004,"Stade Sylvio Cator, Port-au-Prince, Haiti",Haiti,5–0,6–0,Friendly,
20,46,5 September 2004,"Estádio do Morumbi, São Paulo, Brazil",Bolivia,2–0,3–1,2006 FIFA World Cup qualification,
21,47,8 September 2004,"Olympiastadion, Berlin, Germany",Germany,1–1,1–1,Friendly,
22,51,9 February 2005,"Hong Kong Stadium, So Kon Po, Hong Kong",Hong Kong,4–0,7–1,2005 Lunar New Year Cup,
23,54,5 June 2005,"Estádio Beira-Rio, Porto Alegre, Brazil",Paraguay,1–0,4–1,2006 FIFA World Cup qualification,
24,54,5 June 2005,"Estádio Beira-Rio, Porto Alegre, Brazil",Paraguay,2–0,4–1,2006 FIFA World Cup qualification,
25,58,22 June 2005,"RheinEnergieStadion, Cologne, Germany",Japan,2–1,2–2,2005 FIFA Confederations Cup,
26,59,25 June 2005,"Frankenstadion, Nuremberg, Germany",Germany,2–1,3–2,2005 FIFA Confederations Cup,
27,60,29 June 2005,"Waldstadion, Frankfurt, Germany",Argentina,3–0,4–1,2005 FIFA Confederations Cup,
28,72,24 March 2007,"Ullevi, Gothenburg, Sweden",Chile,1–0,4–0,Friendly,
29,72,24 March 2007,"Ullevi, Gothenburg, Sweden",Chile,3–0,4–0,Friendly,
30,76,22 August 2007,"Stade de la Mosson, Montpellier, France",Algeria,2–0,2–0,Friendly,
31,77,9 September 2007,"Soldier Field, Chicago, United States",United States,3–2,4–2,Friendly,
32,80,17 October 2007,"Estádio do Maracanã, Rio de Janeiro, Brazil",Ecuador,2–0,5–0,2010 FIFA World Cup qualification,
33,93,11 October 2011,"Estadio Corona, Torreón, Mexico",Mexico,1–1,2–1,Friendly,
