# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Kickers Offenbach,1977–78,2. Bundesliga,6,1,—,—,—,—,—,—,6,1
Kickers Offenbach,1978–79,2. Bundesliga,29,11,1,2,—,—,—,—,30,13
Kickers Offenbach,1979–80,2. Bundesliga,38,7,5,2,—,—,—,—,43,9
Kickers Offenbach,Total,Total,73,19,6,4,—,—,—,—,79,23
1860 Munich,1980–81,Bundesliga,33,9,2,1,—,—,—,—,35,10
1860 Munich,1981–82,2. Bundesliga,37,37,2,2,—,—,—,—,39,39
1860 Munich,Total,Total,70,46,4,3,—,—,—,—,74,49
Werder Bremen,1982–83,Bundesliga,31,23,1,2,8,11,—,—,40,36
Werder Bremen,1983–84,Bundesliga,31,18,4,1,9,2,—,—,44,21
Werder Bremen,1984–85,Bundesliga,32,25,4,1,2,0,—,—,38,26
Werder Bremen,1985–86,Bundesliga,13,9,1,1,6,4,—,—,20,14
Werder Bremen,1986–87,Bundesliga,30,22,1,0,1,0,—,—,32,22
Werder Bremen,Total,Total,137,97,11,5,26,17,—,—,174,119
Roma,1987–88,Serie A,21,3,7,2,—,—,—,—,28,5
Roma,1988–89,Serie A,29,10,7,3,6,2,1,0,43,15
Roma,1989–90,Serie A,32,14,6,2,—,—,—,—,38,16
Roma,1990–91,Serie A,30,11,10,4,12,10,—,—,52,25
Roma,1991–92,Serie A,30,7,2,0,3,0,1,0,36,7
Roma,Total,Total,142,45,32,11,22,12,2,0,198,68
Marseille,1992–93,Division 1,33,18,3,2,8,2,—,—,44,22
Marseille,1993–94,Division 1,25,6,4,0,—,—,—,—,29,6
Marseille,Total,Total,58,24,7,2,8,2,—,—,73,28
Bayer Leverkusen,1994–95,Bundesliga,30,16,1,0,3,0,—,—,34,16
Bayer Leverkusen,1995–96,Bundesliga,32,10,5,2,4,3,—,—,41,15
Bayer Leverkusen,Total,Total,62,26,6,2,7,3,—,—,75,31
Career total,Career total,Career total,542,257,66,27,63,34,2,0,673,318
