# List of international goals scored by Rudi Völler
No.,Date,Venue,Opponent,Score,Result,Competition
1,30 March 1983,"Qemal Stafa Stadium, Tirana, Albania",Albania,1–0,2–1,UEFA Euro 1984 qualifying
2,7 September 1983,"Népstadion, Budapest, Hungary",Hungary,1–1,1–1,Friendly
3,5 October 1983,"Parkstadion, Gelsenkirchen, West Germany",Austria,2–0,3–0,UEFA Euro 1984 qualifying
4,5 October 1983,"Parkstadion, Gelsenkirchen, West Germany",Austria,3–0,3–0,UEFA Euro 1984 qualifying
5,26 October 1983,"Olympic Stadium, West Berlin, West Germany",Turkey,1–0,5–1,UEFA Euro 1984 qualifying
6,26 October 1983,"Olympic Stadium, West Berlin, West Germany",Turkey,3–0,5–1,UEFA Euro 1984 qualifying
7,15 February 1984,"Spartak Stadium, Varna, Bulgaria",Bulgaria,2–0,3–2,Friendly
8,29 February 1984,"Heysel Stadium, Brussels, Belgium",Belgium,1–0,1–0,Friendly
9,28 March 1984,"Niedersachsenstadion, Hanover, West Germany",Soviet Union,1–1,2–1,Friendly
10,17 June 1984,"Stade Félix-Bollaert, Lens, France",Romania,1–0,2–1,UEFA Euro 1984
11,17 June 1984,"Stade Félix-Bollaert, Lens, France",Romania,2–1,2–1,UEFA Euro 1984
12,24 February 1985,"Estádio da Luz, Lisbon, Portugal",Portugal,2–0,2–1,FIFA World Cup 1986 qualifying
13,17 April 1985,"Rosenaustadion, Augsburg, West Germany",Bulgaria,1–0,4–1,Friendly
14,17 April 1985,"Rosenaustadion, Augsburg, West Germany",Bulgaria,4–1,4–1,Friendly
15,25 September 1985,"Råsunda Stadium, Stockholm, Sweden",Sweden,1–0,2–2,FIFA World Cup 1986 qualifying
16,11 May 1986,"Ruhrstadion, Bochum, West Germany",Yugoslavia,1–1,1–1,Friendly
17,14 May 1986,"Westfalenstadion, Dortmund, West Germany",Netherlands,1–0,3–1,Friendly
18,14 May 1986,"Westfalenstadion, Dortmund, West Germany",Netherlands,2–0,3–1,Friendly
19,8 June 1986,"Estadio La Corregidora, Santiago de Querétaro, Mexico",Scotland,1–1,2–1,FIFA World Cup 1986
20,25 June 1986,"Estadio Jalisco, Guadalajara, Mexico",France,2–0,2–0,FIFA World Cup 1986
21,29 June 1986,"Estadio Azteca, Mexico City, Mexico",Argentina,2–2,2–3,FIFA World Cup 1986
22,29 October 1986,"Prater Stadium, Vienna, Austria",Austria,1–1,1–4,Friendly
23,12 August 1987,"Olympic Stadium, West Berlin, West Germany",France,1–0,2–1,Friendly
24,12 August 1987,"Olympic Stadium, West Berlin, West Germany",France,2–0,2–1,Friendly
25,23 September 1987,"Volksparkstadion, Hamburg, West Germany",Denmark,1–0,1–0,Friendly
26,17 June 1988,"Olympic Stadium, Munich, West Germany",Spain,1–0,2–0,UEFA Euro 1988
27,17 June 1988,"Olympic Stadium, Munich, West Germany",Spain,2–0,2–0,UEFA Euro 1988
28,31 August 1988,"Olympic Stadium, Helsinki, Finland",Finland,1–0,4–0,FIFA World Cup 1990 qualifying
29,31 August 1988,"Olympic Stadium, Helsinki, Finland",Finland,2–0,4–0,FIFA World Cup 1990 qualifying
30,22 March 1989,"Vasil Levski National Stadium, Sofia, Bulgaria",Bulgaria,1–1,2–1,Friendly
31,4 October 1989,"Westfalenstadion, Dortmund, West Germany",Finland,4–0,6–1,FIFA World Cup 1990 qualifying
32,15 November 1989,"Müngersdorfer Stadion, Cologne, West Germany",Wales,1–1,2–1,FIFA World Cup 1990 qualifying
33,25 April 1990,"Neckarstadion, Stuttgart, West Germany",Uruguay,2–1,3–3,Friendly
34,30 May 1990,"Parkstadion, Gelsenkirchen, West Germany",Denmark,1–0,1–0,Friendly
35,10 June 1990,"Stadio Giuseppe Meazza, Milan, Italy",Yugoslavia,4–1,4–1,FIFA World Cup 1990
36,15 June 1990,"Stadio Giuseppe Meazza, Milan, Italy",United Arab Emirates,1–0,5–1,FIFA World Cup 1990
37,15 June 1990,"Stadio Giuseppe Meazza, Milan, Italy",United Arab Emirates,5–1,5–1,FIFA World Cup 1990
38,10 October 1990,"Råsunda Stadium, Stockholm, Sweden",Sweden,2–0,3–1,Friendly
39,31 October 1990,"Stade Josy Barthel, Luxembourg City, Luxembourg",Luxembourg,3–0,3–2,UEFA Euro 1992 qualifying
40,19 December 1990,"Neckarstadion, Stuttgart, Germany",Switzerland,1–0,4–0,Friendly
41,16 October 1991,"Frankenstadion, Nuremberg, Germany",Wales,2–0,4–1,UEFA Euro 1992 qualifying
42,20 November 1991,"King Baudouin Stadium, Brussels, Belgium",Belgium,1–0,1–0,UEFA Euro 1992 qualifying
43,30 May 1992,"Parkstadion, Gelsenkirchen, Germany",Turkey,1–0,1–0,Friendly
44,14 October 1992,"Rudolf-Harbig-Stadion, Dresden, Germany",Mexico,1–0,1–1,Friendly
45,8 June 1994,"Varsity Stadium, Toronto, Canada",Canada,2–0,2–0,Friendly
46,2 July 1994,"Soldier Field, Chicago, United States",Belgium,1–0,3–2,FIFA World Cup 1994
47,2 July 1994,"Soldier Field, Chicago, United States",Belgium,3–1,3–2,FIFA World Cup 1994
