# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
HFC Haarlem,1979–80,Eredivisie,24,4,0,0,—,—,—,—,—,—,24,4
HFC Haarlem,1980–81,Eerste Divisie,36,14,5,2,—,—,—,—,—,—,41,16
HFC Haarlem,1981–82,Eredivisie,31,14,4,2,—,—,—,—,—,—,35,16
HFC Haarlem,Total,Total,91,32,9,4,—,—,—,—,—,—,100,36
Feyenoord,1982–83,Eredivisie,33,8,2,1,—,—,—,—,—,—,35,9
Feyenoord,1983–84,Eredivisie,33,15,8,9,—,—,4,1,—,—,45,25
Feyenoord,1984–85,Eredivisie,19,7,2,0,—,—,2,0,—,—,23,7
Feyenoord,Total,Total,85,30,12,10,—,—,6,1,—,—,103,41
PSV,1985–86,Eredivisie,34,24,2,3,—,—,2,0,—,—,38,27
PSV,1986–87,Eredivisie,34,22,3,4,—,—,0,0,—,—,37,26
PSV,Total,Total,68,46,5,7,—,—,2,0,—,—,75,53
AC Milan,1987–88,Serie A,29,9,6,3,—,—,4,1,—,—,39,13
AC Milan,1988–89,Serie A,19,5,1,2,—,—,8,4,0,0,28,11
AC Milan,1989–90,Serie A,2,0,0,0,—,—,1,0,0,0,3,0
AC Milan,1990–91,Serie A,26,7,1,0,—,—,4,1,3,1,34,9
AC Milan,1991–92,Serie A,26,7,1,1,—,—,—,—,—,—,27,8
AC Milan,1992–93,Serie A,15,7,6,4,—,—,4,0,1,0,26,11
AC Milan,1994–95,Serie A,8,3,2,0,—,—,3,0,1,1,14,4
AC Milan,Total,Total,125,39,17,10,—,—,24,6,5,2,171,56
Sampdoria,1993–94,Serie A,31,15,10,2,—,—,—,—,—,—,41,17
Sampdoria,1994–95,Serie A,22,9,0,0,—,—,0,0,0,0,22,9
Sampdoria,Total,Total,53,24,10,2,—,—,0,0,0,0,63,26
Chelsea,1995–96,Premier League,31,3,7,3,2,0,—,—,—,—,40,6
Chelsea,1996–97,Premier League,11,1,1,0,1,0,—,—,—,—,13,1
Chelsea,1997–98,Premier League,6,0,0,0,4,0,0,0,0,0,10,0
Chelsea,Total,Total,48,4,8,3,7,0,0,0,0,0,63,7
Career total,Career total,Career total,470,175,61,36,7,0,32,7,5,2,575,219
