# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Den Bosch,1993–94,Eerste Divisie,2,0,0,0,—,—,—,—,—,—,2,0
Den Bosch,1994–95,Eerste Divisie,15,3,2,3,—,—,—,—,–,–,17,6
Den Bosch,1995–96,Eerste Divisie,21,2,0,0,—,—,—,—,—,—,21,2
Den Bosch,1996–97,Eerste Divisie,31,12,0,0,—,—,—,—,—,—,31,12
Den Bosch,Total,Total,69,17,2,3,—,—,—,—,—,—,71,20
Heerenveen,1997–98,Eredivisie,31,13,5,3,—,—,4,0,—,—,40,16
PSV,1998–99,Eredivisie,34,31,4,4,—,—,7,6,1,0,46,41
PSV,1999–2000,Eredivisie,23,29,1,0,—,—,8,3,—,—,32,32
PSV,2000–01,Eredivisie,10,2,2,2,—,—,—,—,—,—,12,4
PSV,Total,Total,67,62,7,6,—,—,15,9,1,0,90,77
Manchester United,2001–02,Premier League,32,23,2,2,0,0,14,10,1,1,49,36
Manchester United,2002–03,Premier League,34,25,3,4,4,1,11,14,0,0,52,44
Manchester United,2003–04,Premier League,32,20,4,6,0,0,7,4,1,0,44,30
Manchester United,2004–05,Premier League,17,6,3,2,0,0,7,8,0,0,27,16
Manchester United,2005–06,Premier League,35,21,2,0,2,1,8,2,0,0,47,24
Manchester United,Total,Total,150,95,14,14,6,2,47,38,2,1,219,150
Real Madrid,2006–07,La Liga,37,25,3,2,—,—,7,6,0,0,47,33
Real Madrid,2007–08,La Liga,24,16,1,0,—,—,7,4,1,0,33,20
Real Madrid,2008–09,La Liga,6,4,0,0,—,—,4,3,2,3,12,10
Real Madrid,2009–10,La Liga,1,1,2,0,—,—,1,0,0,0,4,1
Real Madrid,Total,Total,68,46,6,2,—,—,19,13,3,3,96,64
Hamburger SV,2009–10,Bundesliga,11,5,0,0,—,—,7,2,0,0,18,7
Hamburger SV,2010–11,Bundesliga,25,7,1,3,—,—,—,—,—,—,26,10
Hamburger SV,Total,Total,36,12,1,3,—,—,7,2,0,0,44,17
Málaga,2011–12,La Liga,28,4,4,1,—,—,—,—,—,—,32,5
Career total,Career total,Career total,449,249,39,32,6,2,92,62,6,4,592,349
