# List of international goals scored by Ruud van Nistelrooy
No.,Date,Venue,Cap,Opponent,Score,Result,Competition
1,28 April 1999,"GelreDome, Arnhem, Netherlands",3,Morocco,1–2,1–2,Friendly
2,25 April 2001,"Philips Stadion, Eindhoven, Netherlands",11,Cyprus,4–0,4–0,2002 FIFA World Cup qualification
3,2 June 2001,"Lilleküla Stadium, Tallinn, Estonia",12,Estonia,2–2,4–2,2002 FIFA World Cup qualification
4,2 June 2001,"Lilleküla Stadium, Tallinn, Estonia",12,Estonia,4–2,4–2,2002 FIFA World Cup qualification
5,15 August 2001,"White Hart Lane, London, England",13,England,2–0,2–0,Friendly
6,5 September 2001,"Philips Stadion, Eindhoven, Netherlands",15,Estonia,5–0,5–0,2002 FIFA World Cup qualification
7,6 October 2001,"GelreDome, Arnhem, Netherlands",16,Andorra,3–0,4–0,2002 FIFA World Cup qualification
8,6 October 2001,"GelreDome, Arnhem, Netherlands",16,Andorra,4–0,4–0,2002 FIFA World Cup qualification
9,20 November 2002,"Arena AufSchalke, Gelsenkirchen, Germany",21,Germany,3–1,3–1,Friendly
10,29 March 2003,"De Kuip, Rotterdam, Netherlands",23,Czech Republic,1–0,1–1,UEFA Euro 2004 qualifying
11,2 April 2003,"Sheriff Stadium, Tiraspol, Moldova",24,Moldova,1–1,2–1,UEFA Euro 2004 qualifying
12,19 November 2003,"Amsterdam Arena, Amsterdam, Netherlands",29,Scotland,3–0,6–0,UEFA Euro 2004 qualifying
13,19 November 2003,"Amsterdam Arena, Amsterdam, Netherlands",29,Scotland,4–0,6–0,UEFA Euro 2004 qualifying
14,19 November 2003,"Amsterdam Arena, Amsterdam, Netherlands",29,Scotland,6–0,6–0,UEFA Euro 2004 qualifying
15,15 June 2004,"Estádio do Dragão, Porto, Portugal",34,Germany,1–1,1–1,UEFA Euro 2004
16,19 June 2004,"Estádio Municipal de Aveiro, Aveiro, Portugal",35,Czech Republic,2–0,2–3,UEFA Euro 2004
17,23 June 2004,"Estádio Municipal de Braga, Braga, Portugal",36,Latvia,1–0,3–0,UEFA Euro 2004
18,23 June 2004,"Estádio Municipal de Braga, Braga, Portugal",36,Latvia,2–0,3–0,UEFA Euro 2004
19,13 October 2004,"Amsterdam Arena, Amsterdam, Netherlands",39,Finland,2–1,3–1,2006 FIFA World Cup qualification
20,13 October 2004,"Amsterdam Arena, Amsterdam, Netherlands",39,Finland,3–1,3–1,2006 FIFA World Cup qualification
21,30 March 2005,"Philips Stadion, Eindhoven, Netherlands",42,Armenia,2–0,2–0,2006 FIFA World Cup qualification
22,8 June 2005,"Helsinki Olympic Stadium, Helsinki, Finland",44,Finland,1–0,4–0,2006 FIFA World Cup qualification
23,3 September 2005,"Hanrapetakan Stadium, Yerevan, Armenia",46,Armenia,1–0,1–0,2006 FIFA World Cup qualification
24,7 September 2005,"Philips Stadion, Eindhoven, Netherlands",47,Andorra,3–0,4–0,2006 FIFA World Cup qualification
25,7 September 2005,"Philips Stadion, Eindhoven, Netherlands",47,Andorra,4–0,4–0,2006 FIFA World Cup qualification
26,27 May 2006,"De Kuip, Rotterdam, Netherlands",50,Cameroon,1–0,1–0,Friendly
27,4 June 2006,"De Kuip, Rotterdam, Netherlands",51,Australia,1–0,1–1,Friendly
28,16 June 2006,"Gottlieb-Daimler-Stadion, Stuttgart, Germany",53,Ivory Coast,2–0,2–1,2006 FIFA World Cup
29,8 September 2007,"Amsterdam Arena, Amsterdam, Netherlands",56,Bulgaria,2–0,2–0,UEFA Euro 2008 qualifying
30,12 September 2007,"Qemal Stafa Stadium, Tirana, Albania",57,Albania,1–0,1–0,UEFA Euro 2008 qualifying
31,29 May 2008,"Philips Stadion, Eindhoven, Netherlands",60,Denmark,1–0,1–1,Friendly
32,9 June 2008,"Stade de Suisse, Bern, Switzerland",62,Italy,1–0,3–0,UEFA Euro 2008
33,21 June 2008,"St. Jakob-Park, Basel, Switzerland",64,Russia,1–1,1–3,UEFA Euro 2008
34,3 September 2010,"Stadio Olimpico, Serravalle, San Marino",65,San Marino,5–0,5–0,UEFA Euro 2012 qualifying
35,29 March 2011,"Amsterdam Arena, Amsterdam, Netherlands",70,Hungary,3–2,5–3,UEFA Euro 2012 qualifying
