# Club appearances and goals by season by competition
Club,Season,League Division,League Apps,League Goals,FA Cup Apps,FA Cup Goals,League Cup Apps,League Cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Manchester United,1990–91,First Division,2,1,0,0,0,0,0,0,0,0,2,1
Manchester United,1991–92,First Division,38,4,3,0,8,3,1,0,1,0,51,7
Manchester United,1992–93,Premier League,41,9,2,2,2,0,1,0,–,–,46,11
Manchester United,1993–94,Premier League,38,13,7,1,8,3,4,0,1,0,58,17
Manchester United,1994–95,Premier League,29,1,7,1,0,0,3,2,1,0,40,4
Manchester United,1995–96,Premier League,33,11,7,1,2,0,2,0,–,–,44,12
Manchester United,1996–97,Premier League,26,3,3,0,0,0,7,2,1,0,37,5
Manchester United,1997–98,Premier League,29,8,2,0,0,0,5,1,1,0,37,9
Manchester United,1998–99,Premier League,24,3,6,2,1,0,9,5,1,0,41,10
Manchester United,1999–2000,Premier League,30,6,–,–,0,0,11,1,3,0,44,7
Manchester United,2000–01,Premier League,31,5,2,0,0,0,11,2,1,0,45,7
Manchester United,2001–02,Premier League,25,7,1,0,0,0,13,2,1,0,40,9
Manchester United,2002–03,Premier League,36,8,3,2,5,0,15,4,–,–,59,14
Manchester United,2003–04,Premier League,33,7,5,0,0,0,8,1,1,0,47,8
Manchester United,2004–05,Premier League,32,5,4,0,1,1,6,2,1,0,44,8
Manchester United,2005–06,Premier League,27,3,2,1,3,0,5,1,–,–,37,5
Manchester United,2006–07,Premier League,30,4,6,0,0,0,8,2,–,–,44,6
Manchester United,2007–08,Premier League,31,3,2,0,0,0,9,0,1,1,43,4
Manchester United,2008–09,Premier League,28,2,2,0,4,1,11,1,2,0,47,4
Manchester United,2009–10,Premier League,25,5,1,0,2,1,3,1,1,0,32,7
Manchester United,2010–11,Premier League,25,2,3,1,1,0,8,1,1,0,38,4
Manchester United,2011–12,Premier League,25,2,2,0,1,1,5,1,0,0,33,4
Manchester United,2012–13,Premier League,22,2,4,1,1,2,5,0,–,–,32,5
Manchester United,2013–14,Premier League,12,0,0,0,2,0,7,0,1,0,22,0
Total,Total,Total,672,114,74,12,41,12,157,29,19,1,963,168
