# List of international goals scored by Ryan Giggs
No. Wales goals,Date Wales goals,Venue Wales goals,Opponent Wales goals,Score Wales goals,Result Wales goals,Competition Wales goals
1,31 March 1993,"National Stadium, Cardiff, Cardiff, Wales",Belgium,1–0,2–0,1994 FIFA World Cup qualification
2,8 September 1993,"National Stadium, Cardiff, Wales",RCS,1–1,2–2,1994 FIFA World Cup qualification
3,7 September 1994,"National Stadium, Cardiff, Wales",Albania,2–0,2–0,UEFA Euro 1996 qualification
4,2 June 1996,"San Marino Stadium, Serravalle, San Marino",San Marino,4–0,5–0,1998 FIFA World Cup qualification
5,11 October 1997,"King Baudouin Stadium, Brussels, Belgium",Belgium,2–3,2–3,1998 FIFA World Cup qualification
6,4 September 1999,"Dinamo Stadium, Minsk, Belarus",Belarus,2–1,2–1,UEFA Euro 2000 qualification
7,29 March 2000,"Millennium Stadium, Cardiff, Wales",Finland,1–2,1–2,Friendly
8,29 March 2003,"Millennium Stadium, Cardiff, Wales",Azerbaijan,4–0,4–0,UEFA Euro 2004 qualification
9,8 October 2005,"Windsor Park, Belfast, Northern Ireland",Northern Ireland,3–2,3–2,2006 FIFA World Cup qualification
10,12 October 2005,"Millennium Stadium, Cardiff, Wales",Azerbaijan,1–0,2–0,2006 FIFA World Cup qualification
11,12 October 2005,"Millennium Stadium, Cardiff, Wales",Azerbaijan,2–0,2–0,2006 FIFA World Cup qualification
12,28 March 2007,"Millennium Stadium, Cardiff, Wales",San Marino,1–0,3–0,UEFA Euro 2008 qualification
Great Britain Olympic team goals,Great Britain Olympic team goals,Great Britain Olympic team goals,Great Britain Olympic team goals,Great Britain Olympic team goals,Great Britain Olympic team goals,Great Britain Olympic team goals
1,29 July 2012,"Wembley Stadium, London, United Kingdom",United Arab Emirates,1–0,3–1,2012 Summer Olympics
