# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Manchester United,1956–57,First Division,14,10,2,1,—,—,1,1,0,0,17,12
Manchester United,1957–58,First Division,21,8,7,5,—,—,2,3,0,0,30,16
Manchester United,1958–59,First Division,38,29,1,0,—,—,—,—,—,—,39,29
Manchester United,1959–60,First Division,37,18,3,3,—,—,—,—,—,—,40,21
Manchester United,1960–61,First Division,39,21,3,0,0,0,—,—,—,—,42,21
Manchester United,1961–62,First Division,37,8,6,2,—,—,—,—,—,—,43,10
Manchester United,1962–63,First Division,28,7,6,2,—,—,—,—,—,—,34,9
Manchester United,1963–64,First Division,40,9,7,2,—,—,6,4,1,0,54,15
Manchester United,1964–65,First Division,41,10,7,0,—,—,11,8,—,—,59,18
Manchester United,1965–66,First Division,38,16,7,0,—,—,8,2,1,0,54,18
Manchester United,1966–67,First Division,42,12,2,0,0,0,—,—,—,—,44,12
Manchester United,1967–68,First Division,41,15,2,1,—,—,9,2,1,2,53,20
Manchester United,1968–69,First Division,32,5,6,0,—,—,8,2,2,0,48,7
Manchester United,1969–70,First Division,40,12,9,1,8,1,—,—,—,—,57,14
Manchester United,1970–71,First Division,42,5,2,0,6,3,—,—,—,—,50,8
Manchester United,1971–72,First Division,40,8,7,2,6,2,—,—,—,—,53,12
Manchester United,1972–73,First Division,36,6,1,0,4,1,—,—,—,—,41,7
Manchester United,Total,Total,606,199,78,19,24,7,45,22,5,2,758,249
Preston North End,1974–75,Third Division,38,8,4,1,3,1,—,—,—,—,45,10
Waterford United,1975–76,League of Ireland,3,1,1,0,0,0,—,—,—,—,4,1
Newcastle KB United,1978,National Soccer League,1,0,0,0,0,0,—,—,—,—,1,0
Perth Azzurri,1979,National Premier Leagues Western Australia,3,2,0,0,0,0,—,—,—,—,3,2
Blacktown City,1980,National Soccer League,1,1,0,0,0,0,—,—,—,—,1,1
Career total,Career total,Career total,652,211,83,20,27,8,45,22,5,2,812,263
