# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Lyon II,2010–11,CFA,13,0,—,—,—,—,—,—,—,—,13,0
Lyon II,2011–12,CFA,6,0,—,—,—,—,—,—,—,—,6,0
Lyon II,2012–13,CFA,2,0,—,—,—,—,—,—,—,—,2,0
Lyon II,Total,Total,21,0,—,—,—,—,—,—,—,—,21,0
Lyon,2011–12,Ligue 1,12,0,3,0,3,0,0,0,—,—,18,0
Lyon,2012–13,Ligue 1,26,1,0,0,0,0,6,1,0,0,32,2
Lyon,2013–14,Ligue 1,28,0,1,0,3,0,10,0,—,—,42,0
Lyon,2014–15,Ligue 1,35,1,2,0,1,0,2,1,—,—,40,2
Lyon,2015–16,Ligue 1,30,1,2,0,1,0,4,0,1,0,38,1
Lyon,Total,Total,131,3,8,0,8,0,22,2,1,0,170,5
Barcelona,2016–17,La Liga,25,1,9,0,—,—,8,0,1,0,43,1
Barcelona,2017–18,La Liga,25,1,4,0,—,—,9,0,2,0,40,1
Barcelona,2018–19,La Liga,14,0,0,0,—,—,1,0,0,0,15,0
Barcelona,2019–20,La Liga,13,0,1,0,—,—,3,0,1,0,18,0
Barcelona,2020–21,La Liga,13,0,2,0,—,—,1,0,0,0,16,0
Barcelona,2021–22,La Liga,1,0,0,0,—,—,0,0,0,0,1,0
Barcelona,Total,Total,91,2,16,0,—,—,22,0,4,0,133,2
Lecce (loan),2022–23,Serie A,25,0,—,—,—,—,—,—,—,—,25,0
Lille,2023–24,Ligue 1,6,0,1,0,—,—,6,0,—,—,13,0
Career total,Career total,Career total,274,5,25,0,8,0,50,2,5,0,362,7
