# List of international goals scored by Sergio Agüero
No.,Date,Venue,Opponent,Score,Result,Competition
1,17 November 2007,"Estadio Monumental Antonio Vespucio Liberti, Buenos Aires, Argentina",Bolivia,1–0,3–0,2010 FIFA World Cup qualification
2,26 March 2008,"Cairo International Stadium, Cairo, Egypt",Egypt,1–0,2–0,Friendly
3,4 June 2008,"Qualcomm Stadium, San Diego, United States",Mexico,4–1,4–1,Friendly
4,6 September 2008,"Estadio Monumental Antonio Vespucio Liberti, Buenos Aires, Argentina",Paraguay,1–1,1–1,2010 FIFA World Cup qualification
5,11 October 2008,"Estadio Monumental Antonio Vespucio Liberti, Buenos Aires, Argentina",Uruguay,2–0,2–1,2010 FIFA World Cup qualification
6,28 March 2009,"Estadio Monumental Antonio Vespucio Liberti, Buenos Aires, Argentina",Venezuela,4–0,4–0,2010 FIFA World Cup qualification
7,12 August 2009,"Lokomotiv Stadium, Moscow, Russia",Russia,1–1,3–2,Friendly
8,24 May 2010,"Estadio Monumental Antonio Vespucio Liberti, Buenos Aires, Argentina",Canada,5–0,5–0,Friendly
9,7 September 2010,"Estadio Monumental Antonio Vespucio Liberti, Buenos Aires, Argentina",Spain,4–1,4–1,Friendly
10,20 June 2011,"Estadio Monumental Antonio Vespucio Liberti, Buenos Aires, Argentina",Albania,3–0,3–0,Friendly
11,1 July 2011,"Estadio Ciudad de La Plata, La Plata, Argentina",Bolivia,1–1,1–1,2011 Copa América
12,11 July 2011,"Estadio Mario Alberto Kempes, Córdoba, Argentina",Costa Rica,1–0,3–0,2011 Copa América
13,11 July 2011,"Estadio Mario Alberto Kempes, Córdoba, Argentina",Costa Rica,2–0,3–0,2011 Copa América
14,15 November 2011,"Estadio Metropolitano Roberto Meléndez, Barranquilla, Colombia",Colombia,2–1,2–1,2014 FIFA World Cup qualification
15,2 June 2012,"Estadio Monumental Antonio Vespucio Liberti, Buenos Aires, Argentina",Ecuador,1–0,4–0,2014 FIFA World Cup qualification
16,12 October 2012,"Estadio Malvinas Argentinas, Mendoza, Argentina",Uruguay,2–0,2–0,2014 FIFA World Cup qualification
17,6 February 2013,"Friends Arena, Stockholm, Sweden",Sweden,2–1,3–2,Friendly
18,11 June 2013,"Estadio Olímpico Atahualpa, Quito, Ecuador",Ecuador,1–0,1–1,2014 FIFA World Cup qualification
19,10 September 2013,"Estadio Defensores del Chaco, Asunción, Paraguay",Paraguay,2–1,5–2,2014 FIFA World Cup qualification
20,18 November 2013,"Busch Stadium, St. Louis, United States",Bosnia and Herzegovina,1–0,2–0,Friendly
21,18 November 2013,"Busch Stadium, St. Louis, United States",Bosnia and Herzegovina,2–0,2–0,Friendly
22,3 September 2014,"Esprit Arena, Düsseldorf, Germany",Germany,1–0,4–2,Friendly
23,31 March 2015,"MetLife Stadium, East Rutherford, United States",Ecuador,1–0,2–1,Friendly
24,6 June 2015,"Estadio San Juan del Bicentenario, San Juan, Argentina",Bolivia,2–0,5–0,Friendly
25,6 June 2015,"Estadio San Juan del Bicentenario, San Juan, Argentina",Bolivia,3–0,5–0,Friendly
26,6 June 2015,"Estadio San Juan del Bicentenario, San Juan, Argentina",Bolivia,4–0,5–0,Friendly
27,13 June 2015,"Estadio La Portada, La Serena, Chile",Paraguay,1–0,2–2,2015 Copa América
28,16 June 2015,"Estadio La Portada, La Serena, Chile",Uruguay,1–0,1–0,2015 Copa América
29,30 June 2015,"Estadio Municipal de Concepción, Concepción, Chile",Paraguay,5–1,6–1,2015 Copa América
30,4 September 2015,"BBVA Compass Stadium, Houston, United States",Bolivia,2–0,7–0,Friendly
31,4 September 2015,"BBVA Compass Stadium, Houston, United States",Bolivia,4–0,7–0,Friendly
32,9 September 2015,"AT&T Stadium, United States",Mexico,1–2,2–2,Friendly
33,10 June 2016,"Soldier Field, Chicago, United States",Panama,5–0,5–0,Copa América Centenario
34,11 November 2017,"Luzhniki Stadium, Moscow, Russia",Russia,1–0,1–0,Friendly
35,14 November 2017,"Krasnodar Stadium, Krasnodar, Russia",Nigeria,2–0,2–4,Friendly
36,29 May 2018,"La Bombonera, Buenos Aires, Argentina",Haiti,4–0,4–0,Friendly
37,16 June 2018,"Otkritie Arena, Moscow, Russia",Iceland,1–0,1–1,2018 FIFA World Cup
38,30 June 2018,"Kazan Arena, Kazan, Russia",France,3–4,3–4,2018 FIFA World Cup
39,23 June 2019,"Arena do Grêmio, Porto Alegre, Brazil",Qatar,2–0,2–0,2019 Copa América
40,6 July 2019,"Arena Corinthians, São Paulo, Brazil",Chile,1–0,2–1,2019 Copa América
41,18 November 2019,"Bloomfield Stadium, Tel Aviv, Israel",Uruguay,1–1,2–2,Friendly
