# List of international goals scored by Shinji Kagawa
No.,Date,Venue,Opponent,Score,Result,Competition
1,9 October 2008,"Denka Big Swan Stadium, Niigata City, Japan",United Arab Emirates,1–0,1–1,Friendly
2,4 February 2009,"National Olympic Stadium, Tokyo, Japan",Finland,3–0,5–1,Friendly
3,4 September 2010,"Nissan Stadium, Yokohama, Japan",Paraguay,1–0,1–0,Friendly
4,21 January 2011,"Thani bin Jassim Stadium, Doha, Qatar",Qatar,1–1,3–2,2011 AFC Asian Cup
5,21 January 2011,"Thani bin Jassim Stadium, Doha, Qatar",Qatar,2–2,3–2,2011 AFC Asian Cup
6,10 August 2011,"Sapporo Dome, Sapporo, Japan",South Korea,1–0,3–0,Friendly
7,10 August 2011,"Sapporo Dome, Sapporo, Japan",South Korea,3–0,3–0,Friendly
8,11 October 2011,"Nagai Stadium, Osaka, Japan",Tajikistan,4–0,8–0,2014 FIFA World Cup qualification
9,11 October 2011,"Nagai Stadium, Osaka, Japan",Tajikistan,7–0,8–0,2014 FIFA World Cup qualification
10,23 May 2012,"Shizuoka Stadium, Fukuroi, Japan",Azerbaijan,1–0,2–0,Friendly
11,8 June 2012,"Saitama Stadium 2002, Saitama, Japan",Jordan,4–0,6–0,2014 FIFA World Cup qualification
12,12 October 2012,"Stade de France, Saint-Denis, France",France,1–0,1–0,Friendly
13,26 March 2013,"King Abdullah Stadium, Amman, Jordan",Jordan,1–2,1–2,2014 FIFA World Cup qualification
14,20 June 2013,"Itaipava Arena Pernambuco, São Lourenço da Mata, Brazil",Italy,2–0,3–4,2013 FIFA Confederations Cup
15,14 August 2013,"Miyagi Stadium, Rifu, Japan",Uruguay,1–3,2–4,Friendly
16,10 September 2013,"Saitama Stadium 2002, Saitama, Japan",Ghana,1–1,3–1,Friendly
17,5 March 2014,"lNational Olympic Stadium, Tokyo, Japan",New Zealand,2–0,4–2,Friendly
18,2 June 2014,"Raymond James Stadium, Tampa, United States",Costa Rica,2–1,3–1,Friendly
19,7 June 2014,"Raymond James Stadium, Tampa, United States",Zambia,2–2,4–3,Friendly
20,20 January 2015,"Melbourne Rectangular Stadium, Melbourne, Australia",Jordan,2–0,2–0,2015 AFC Asian Cup
21,3 September 2015,"Saitama Stadium 2002, Saitama, Japan",Cambodia,3–0,3–0,2018 FIFA World Cup qualification
22,8 September 2015,"Azadi Stadium, Tehran, Iran",Afghanistan,1–0,6–0,2018 FIFA World Cup qualification
23,8 September 2015,"Azadi Stadium, Tehran, Iran",Afghanistan,3–0,6–0,2018 FIFA World Cup qualification
24,29 March 2016,"Saitama Stadium 2002, Saitama, Japan",Syria,2–0,5–0,2018 FIFA World Cup qualification
25,29 March 2016,"Saitama Stadium 2002, Saitama, Japan",Syria,4–0,5–0,2018 FIFA World Cup qualification
26,3 June 2016,"Toyota Stadium, Toyota, Japan",Bulgaria,2–0,7–2,2016 Kirin Challenge Cup
27,3 June 2016,"Toyota Stadium, Toyota, Japan",Bulgaria,3–0,7–2,2016 Kirin Challenge Cup
28,28 March 2017,"Saitama Stadium 2002, Saitama, Japan",Thailand,1–0,4–0,2018 FIFA World Cup qualification
29,10 October 2017,"Nissan Stadium, Yokohama, Japan",Haiti,3–3,3–3,2017 Kirin Challenge Cup
30,12 June 2018,"Tivoli-Neu, Innsbruck, Austria",Paraguay,4–2,4–2,Friendly
31,19 June 2018,"Mordovia Arena, Saransk, Russia",Colombia,1–0,2–1,2018 FIFA World Cup
