# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Total Apps,Total Goals
Hamburger SV II,2009–10,Regionalliga Nord,6,1,—,—,—,—,—,—,6,1
Hamburger SV,2010–11,Bundesliga,13,3,1,0,—,—,—,—,14,3
Hamburger SV,2011–12,Bundesliga,27,5,3,0,—,—,—,—,30,5
Hamburger SV,2012–13,Bundesliga,33,12,1,0,—,—,—,—,34,12
Hamburger SV,Total,Total,73,20,5,0,—,—,—,—,78,20
Bayer Leverkusen,2013–14,Bundesliga,31,10,4,2,—,—,8,0,43,12
Bayer Leverkusen,2014–15,Bundesliga,30,11,2,1,—,—,10,5,42,17
Bayer Leverkusen,2015–16,Bundesliga,1,0,0,0,—,—,1,0,2,0
Bayer Leverkusen,Total,Total,62,21,6,3,—,—,19,5,87,29
Tottenham Hotspur,2015–16,Premier League,28,4,4,1,1,0,7,3,40,8
Tottenham Hotspur,2016–17,Premier League,34,14,5,6,0,0,8,1,47,21
Tottenham Hotspur,2017–18,Premier League,37,12,7,2,2,0,7,4,53,18
Tottenham Hotspur,2018–19,Premier League,31,12,1,1,4,3,12,4,48,20
Tottenham Hotspur,2019–20,Premier League,30,11,4,2,1,0,6,5,41,18
Tottenham Hotspur,2020–21,Premier League,37,17,2,0,3,1,9,4,51,22
Tottenham Hotspur,2021–22,Premier League,35,23,2,0,4,0,4,1,45,24
Tottenham Hotspur,2022–23,Premier League,36,10,3,2,0,0,8,2,47,14
Tottenham Hotspur,2023–24,Premier League,35,17,0,0,1,0,—,—,36,17
Tottenham Hotspur,2024–25,Premier League,30,7,2,0,4,1,10,3,46,11
Tottenham Hotspur,Total,Total,333,127,30,14,21,5,70,27,454,173
Los Angeles FC,2025,Major League Soccer,8,8,—,—,—,—,0,0,8,8
Career total,Career total,Career total,482,177,41,17,21,5,89,32,633,231
