# Appearances and goals by national team and year
National team,Year,Apps,Goals
England,1934,2,1
England,1935,1,0
England,1936,0,0
England,1937,3,4
England,1938,8,3
England,1939,3,0
England,1940,0,0
England,1941,0,0
England,1942,0,0
England,1943,0,0
England,1944,0,0
England,1945,0,0
England,1946,0,0
England,1947,6,1
England,1948,6,1
England,1949,1,0
England,1950,2,0
England,1951,1,0
England,1952,0,0
England,1953,3,0
England,1954,5,0
England,1955,5,0
England,1956,5,1
England,1957,3,0
Total,Total,54,11
