# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Liverpool,1998–99,Premier League,12,0,0,0,0,0,1,0,—,—,13,0
Liverpool,1999–2000,Premier League,29,1,2,0,0,0,—,—,—,—,31,1
Liverpool,2000–01,Premier League,33,7,4,1,4,0,9,2,—,—,50,10
Liverpool,2001–02,Premier League,28,3,2,0,0,0,14,1,1,0,45,4
Liverpool,2002–03,Premier League,34,5,2,0,6,2,11,0,1,0,54,7
Liverpool,2003–04,Premier League,34,4,3,0,2,0,8,2,—,—,47,6
Liverpool,2004–05,Premier League,30,7,0,0,3,2,10,4,—,—,43,13
Liverpool,2005–06,Premier League,32,10,6,4,1,1,12,7,2,1,53,23
Liverpool,2006–07,Premier League,36,7,1,0,1,1,12,3,1,0,51,11
Liverpool,2007–08,Premier League,34,11,3,3,2,1,13,6,—,—,52,21
Liverpool,2008–09,Premier League,31,16,3,1,0,0,10,7,—,—,44,24
Liverpool,2009–10,Premier League,33,9,2,1,1,0,13,2,—,—,49,12
Liverpool,2010–11,Premier League,21,4,1,0,0,0,2,4,—,—,24,8
Liverpool,2011–12,Premier League,18,5,6,2,4,2,—,—,—,—,28,9
Liverpool,2012–13,Premier League,36,9,1,0,1,0,8,1,—,—,46,10
Liverpool,2013–14,Premier League,34,13,3,1,2,0,—,—,—,—,39,14
Liverpool,2014–15,Premier League,29,9,3,2,3,0,6,2,—,—,41,13
Liverpool,Total,Total,504,120,42,15,30,9,129,41,5,1,710,186
LA Galaxy,2015,Major League Soccer,13,2,1,0,—,—,0,0,1,0,15,2
LA Galaxy,2016,Major League Soccer,21,3,0,0,—,—,2,0,1,0,24,3
LA Galaxy,Total,Total,34,5,1,0,—,—,2,0,2,0,39,5
Career total,Career total,Career total,538,125,43,14,30,9,131,41,7,1,749,190
