# List of international goals scored by Steven Gerrard
No.,Date,Venue,Cap,Opponent,Score,Result,Competition,Ref.
1,1 September 2001,"Olympiastadion, Munich, Germany",6,Germany,2–1,5–1,2002 FIFA World Cup qualification,
2,16 October 2002,"St Mary's Stadium, Southampton, England",13,Macedonia,2–2,2–2,UEFA Euro 2004 qualifying,
3,3 June 2003,"Walkers Stadium, Leicester, England",17,Serbia and Montenegro,1–0,2–1,Friendly,
4,17 June 2004,"Estádio Cidade de Coimbra, Coimbra, Portugal",26,Switzerland,3–0,3–0,UEFA Euro 2004,
5,4 September 2004,"Ernst-Happel-Stadion, Vienna, Austria",30,Austria,2–0,2–2,2006 FIFA World Cup qualification,
6,30 March 2005,"St James' Park, Newcastle upon Tyne, England",34,Azerbaijan,1–0,2–0,2006 FIFA World Cup qualification,
7,30 May 2006,"Old Trafford, Manchester, England",41,Hungary,1–0,3–1,Friendly,
8,15 June 2006,"Frankenstadion, Nuremberg, Germany",44,Trinidad and Tobago,2–0,2–0,2006 FIFA World Cup,
9,20 June 2006,"RheinEnergieStadion, Cologne, Germany",45,Sweden,2–1,2–2,2006 FIFA World Cup,
10,2 September 2006,"Old Trafford, Manchester, England",49,Andorra,2–0,5–0,UEFA Euro 2008 qualifying,
11,28 March 2007,"Estadi Olímpic Lluís Companys, Barcelona, Spain",55,Andorra,1–0,3–0,UEFA Euro 2008 qualifying,
12,28 March 2007,"Estadi Olímpic Lluís Companys, Barcelona, Spain",55,Andorra,2–0,3–0,UEFA Euro 2008 qualifying,
13,28 May 2008,"Wembley Stadium, London, England",66,United States,2–0,2–0,Friendly,
14,15 October 2008,"Dinamo Stadium, Minsk, Belarus",70,Belarus,1–0,3–1,2010 FIFA World Cup qualification,
15,9 September 2009,"Wembley Stadium, London, England",76,Croatia,2–0,5–1,2010 FIFA World Cup qualification,
16,9 September 2009,"Wembley Stadium, London, England",76,Croatia,4–0,5–1,2010 FIFA World Cup qualification,
17,12 June 2010,"Royal Bafokeng Stadium, Rustenburg, South Africa",81,United States,1–0,1–1,2010 FIFA World Cup,
18,11 August 2010,"Wembley Stadium, London, England",85,Hungary,1–1,2–1,Friendly,
19,11 August 2010,"Wembley Stadium, London, England",85,Hungary,2–1,2–1,Friendly,
20,6 September 2013,"Wembley Stadium, London, England",104,Moldova,1–0,4–0,2014 FIFA World Cup qualification,
21,15 October 2013,"Wembley Stadium, London, England",107,Poland,2–0,2–0,2014 FIFA World Cup qualification,
