# List of international goals scored by Sulley Muntari
No.,Date,Venue,Opponent,Score,Result,Competition,Ref.
1,2 June 2004,"Baba Yara Stadium, Kumasi, Ghana",South Africa,1–0,3–0,2006 FIFA World Cup qualification,
2,8 October 2005,"Estádio da Várzea, Praia, Cape Verde",Cape Verde,2–0,4–0,2006 FIFA World Cup qualification,
3,14 November 2005,"Prince Abdullah Al-Faisal Sports City, Jeddah, Saudi Arabia",Saudi Arabia,1–1,3–1,Friendly,
4,29 May 2006,"Walkers Stadium, Leicester, England",Jamaica,1–0,4–1,Friendly,
5,4 June 2006,"Easter Road, Edinburgh, Scotland",South Korea,2–1,3–1,Friendly,
6,17 June 2006,"RheinEnergieStadion, Cologne, Germany",Czech Republic,2–0,2–0,2006 FIFA World Cup,
7,6 February 2007,"Griffin Park, Brentford, England",Nigeria,2–0,4–1,Friendly,
8,24 March 2007,"Ernst-Happel-Stadion, Vienna, Austria",Austria,1–1,1–1,Friendly,
9,20 January 2008,"Accra Sports Stadium, Accra, Ghana",Guinea,2–1,2–1,2008 Africa Cup of Nations,
10,28 January 2008,"Accra Sports Stadium, Accra, Ghana",Morocco,2–0,2–0,2008 Africa Cup of Nations,
11,9 February 2008,"Baba Yara Stadium, Kumasi, Ghana",Ivory Coast,1–0,4–2,Friendly,
12,22 June 2008,"Accra Sports Stadium, Accra, Ghana",Gabon,2–0,2–0,2010 FIFA World Cup qualification,
13,12 August 2009,"Brisbane Road, London, England",Zambia,1–0,4–1,Friendly,
14,6 September 2009,"Accra Sports Stadium, Accra, Ghana",Sudan,1–0,2–0,2010 FIFA World Cup qualification,
15,3 March 2010,"Koševo City Stadium, Sarajevo, Bosnia and Herzegovina",Bosnia and Herzegovina,1–0,1–2,Friendly,
16,2 July 2010,"FNB Stadium, Johannesburg, South Africa",Uruguay,1–0,1–1,2010 FIFA World Cup,
17,27 March 2011,"Stade Alphonse Massemba-Débat, Brazzaville, Republic of the Congo",Congo,3–0,3–0,2012 Africa Cup of Nations qualification,
18,1 June 2012,"Baba Yara Stadium, Kumasi, Ghana",Lesotho,1–0,7–0,2014 FIFA World Cup qualification,
19,7 June 2013,"Al-Merrikh Stadium, Omdurman, Sudan",Sudan,3–1,3–1,2014 FIFA World Cup qualification,
20,15 October 2013,"Baba Yara Stadium, Kumasi, Ghana",Egypt,5–1,6–1,2014 FIFA World Cup qualification,
