# List of international goals scored by Sylvain Wiltord
No.,Date,Venue,Opponent,Score,Result,Competition
1,31 March 1999,"Stade de France, Saint-Denis, France",Armenia,1–0,2–0,UEFA Euro 2000 qualifying
2,5 June 1999,"Stade de France, Saint-Denis, France",Russia,2–1,2–3,UEFA Euro 2000 qualifying
3,29 March 2000,"Hampden Park, Glasgow, Scotland",Scotland,1–0,2–0,Friendly
4,6 June 2000,"Stade Mohamed V, Casablanca, Morocco",Morocco,5–1,5–1,2000 King Hassan II International Cup Tournament
5,11 June 2000,"Jan Breydel Stadium, Bruges, Belgium",Denmark,3–0,3–0,UEFA Euro 2000
6,2 July 2000,"Feijenoord Stadion, Rotterdam, Netherlands",Italy,1–1,2–1,UEFA Euro 2000
7,4 October 2000,"Stade de France, Saint-Denis, France",Cameroon,1–0,1–1,Friendly
8,15 November 2000,"BJK İnönü Stadium, Istanbul, Turkey",Turkey,2–0,4–0,Friendly
9,24 March 2001,"Stade de France, Saint-Denis, France",Japan,3–0,5–0,Friendly
10,25 April 2001,"Stade de France, Saint-Denis, France",Portugal,1–0,4–0,Friendly
11,30 May 2001,"Daegu World Cup Stadium, Daegu, South Korea",South Korea,5–0,5–0,2001 FIFA Confederations Cup
12,3 June 2001,"Munsu Cup Stadium, Ulsan, South Korea",Mexico,1–0,4–0,2001 FIFA Confederations Cup
13,7 September 2002,"GSP Stadium, Nicosia, Cyprus",Cyprus,2–1,2–1,UEFA Euro 2004 qualifying
14,12 October 2002,"Stade de France, Saint-Denis, France",Slovenia,4–0,5–0,UEFA Euro 2004 qualifying
15,16 October 2002,"Ta' Qali Stadium, Ta' Qali, Malta",Malta,3–0,4–0,UEFA Euro 2004 qualifying
16,29 March 2003,"Stade Félix-Bollaert, Lens, France",Malta,1–0,6–0,UEFA Euro 2004 qualifying
17,26 June 2003,"Stade de France, Saint-Denis, France",Turkey,3–1,3–2,2003 FIFA Confederations Cup
18,20 August 2003,"Stade de Genève, Genève, Switzerland",Switzerland,1–0,2–0,Friendly
19,6 September 2003,"Stade de France, Saint-Denis, France",Cyprus,2–0,5–0,UEFA Euro 2004 qualifying
20,6 September 2003,"Stade de France, Saint-Denis, France",Cyprus,3–0,5–0,UEFA Euro 2004 qualifying
21,28 May 2004,"Stade de la Mosson, Montpellier, France",Andorra,1–0,4–0,Friendly
22,28 May 2004,"Stade de la Mosson, Montpellier, France",Andorra,2–0,4–0,Friendly
23,13 October 2004,"GSP Stadium, Nicosia, Cyprus",Cyprus,1–0,2–0,2006 FIFA World Cup qualification
24,12 October 2005,"Stade de France, Saint-Denis, France",Cyprus,2–0,4–0,2006 FIFA World Cup qualification
25,1 March 2006,"Stade de France, Saint-Denis, France",Slovakia,1–1,1–2,Friendly
26,31 May 2006,"Stade Félix-Bollaert, Lens, France",Denmark,2–0,2–0,Friendly
