# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Cup Apps,Cup Goals,Other Apps,Other Goals,Continental Apps,Continental Goals,Total Apps,Total Goals
Botafogo-SP,1973,—,–,–,–,–,3,0,–,–,3,0
Botafogo-SP,1974,—,–,–,–,–,24,4,–,–,24,4
Botafogo-SP,1975,—,–,–,–,–,15,7,–,–,15,7
Botafogo-SP,1976,Série A,19,5,–,–,25,14,–,–,44,19
Botafogo-SP,1977,Série A,16,9,–,–,42,18,–,–,58,27
Botafogo-SP,1978,Série A,22,10,–,–,0,0,–,–,22,10
Botafogo-SP,Total,Total,57,24,—,—,109,43,0,0,166,67
Corinthians,1978,Série A,0,0,–,–,47,23,–,–,47,23
Corinthians,1979,—,–,–,–,–,29,10,–,–,29,10
Corinthians,1980,Série A,16,13,–,–,29,15,–,–,45,28
Corinthians,1981,Série A,1,1,–,–,36,22,–,–,37,23
Corinthians,1982,Série A,9,5,–,–,37,18,–,–,46,23
Corinthians,1983,Série A,20,15,–,–,32,21,–,–,52,36
Corinthians,1984,Série A,13,7,–,–,0,0,–,–,13,7
Corinthians,Total,Total,59,41,—,—,210,109,0,0,269,150
Fiorentina,1984–85,Serie A,25,6,4,1,–,–,4,2,33,9
Flamengo,1986,Série A,11,3,–,–,1,0,–,–,12,3
Flamengo,1987,Série A,0,0,–,–,1,0,–,–,1,0
Flamengo,Total,Total,11,3,—,—,2,0,0,0,13,3
Santos,1988,Série A,5,2,–,–,0,0,–,–,5,2
Santos,1989,Série A,0,0,–,–,20,5,–,–,20,5
Santos,Total,Total,5,2,—,—,20,5,0,0,25,7
Botafogo-SP,1989,Série B,6,0,–,–,0,0,–,–,6,0
Garforth Town,2004–05,NCEFL,1,0,0,0,0,0,–,–,1,0
Career total,Career total,Career total,164,76,4,1,341,157,4,2,513,236
