# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,FA Cup Apps,FA Cup Goals,League Cup Apps,League Cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Millwall,1983–84,Third Division,7,1,0,0,0,0,—,—,3,1,10,2
Millwall,1984–85,Third Division,0,0,0,0,1,0,—,—,—,—,1,0
Millwall,1985–86,Second Division,18,4,0,0,0,0,—,—,0,0,18,4
Millwall,1986–87,Second Division,42,13,3,0,3,2,—,—,2,1,50,16
Millwall,1987–88,Second Division,43,22,1,0,4,0,—,—,3,2,51,24
Millwall,1988–89,First Division,33,11,2,1,3,3,—,—,2,0,40,15
Millwall,1989–90,First Division,31,9,3,2,3,1,—,—,0,0,37,12
Millwall,1990–91,Second Division,46,33,3,2,3,2,—,—,3,1,55,38
Millwall,Total,Total,220,93,12,5,17,8,—,—,13,5,262,111
Aldershot (loan),1984–85,Fourth Division,5,0,—,—,—,—,—,—,1,0,6,0
Djurgården (loan),1985,Division 2 Norra,21,13,—,—,—,—,—,—,—,—,21,13
Nottingham Forest,1991–92,First Division,39,13,4,2,10,5,—,—,6,2,59,22
Nottingham Forest,1992–93,Premier League,3,1,—,—,—,—,—,—,—,—,3,1
Nottingham Forest,Total,Total,42,14,4,2,10,5,—,—,6,2,62,23
Tottenham Hotspur,1992–93,Premier League,38,21,5,4,4,3,—,—,—,—,47,28
Tottenham Hotspur,1993–94,Premier League,19,13,0,0,2,2,—,—,—,—,21,15
Tottenham Hotspur,1994–95,Premier League,42,18,6,4,2,1,—,—,—,—,50,23
Tottenham Hotspur,1995–96,Premier League,38,16,6,5,3,3,0,0,—,—,47,24
Tottenham Hotspur,1996–97,Premier League,29,7,0,0,3,1,—,—,—,—,32,8
Tottenham Hotspur,Total,Total,166,75,17,13,14,10,0,0,—,—,197,98
Manchester United,1997–98,Premier League,31,9,3,3,—,—,7,2,1,0,42,14
Manchester United,1998–99,Premier League,17,2,4,1,1,1,4,1,1,0,27,5
Manchester United,1999–2000,Premier League,27,5,—,—,0,0,9,1,5,0,41,6
Manchester United,2000–01,Premier League,29,15,2,1,0,0,11,5,1,0,43,21
Manchester United,Total,Total,104,31,9,5,1,1,31,9,8,0,153,46
Tottenham Hotspur,2001–02,Premier League,34,10,2,1,6,2,—,—,—,—,42,13
Tottenham Hotspur,2002–03,Premier League,36,12,1,0,1,1,—,—,—,—,38,13
Tottenham Hotspur,Total,Total,70,22,3,1,7,3,—,—,—,—,80,26
Portsmouth,2003–04,Premier League,32,9,3,1,3,0,—,—,—,—,38,10
West Ham United,2004–05,Championship,33,20,2,1,1,0,—,—,0,0,36,21
West Ham United,2005–06,Premier League,26,6,4,1,1,0,—,—,—,—,31,7
West Ham United,2006–07,Premier League,17,2,1,0,1,0,1,0,—,—,20,2
West Ham United,Total,Total,76,28,7,2,3,0,1,0,0,0,87,30
Colchester United,2007–08,Championship,19,3,1,1,0,0,—,—,—,—,20,4
Career total,Career total,Career total,755,288,56,30,55,27,32,9,28,7,926,361
