# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,FA Cup Apps,FA Cup Goals,League Cup Apps,League Cup Goals,Other Apps,Other Goals,Total Apps,Total Goals
West Ham United,1958–59,First Division,5,0,0,0,0,0,1,0,6,0
West Ham United,1959–60,First Division,13,0,0,0,0,0,2,0,15,0
West Ham United,1960–61,First Division,38,1,2,0,2,1,—,—,42,2
West Ham United,1961–62,First Division,41,3,1,0,2,0,—,—,44,3
West Ham United,1962–63,First Division,41,3,5,0,1,0,—,—,47,3
West Ham United,1963–64,First Division,37,2,7,0,6,0,—,—,50,2
West Ham United,1964–65,First Division,28,1,0,0,0,0,8,0,35,1
West Ham United,1965–66,First Division,37,0,4,0,9,2,6,0,56,2
West Ham United,1966–67,First Division,40,2,2,0,6,0,—,—,48,2
West Ham United,1967–68,First Division,40,4,3,0,3,0,—,—,46,4
West Ham United,1968–69,First Division,41,2,3,0,3,0,—,—,47,2
West Ham United,1969–70,First Division,40,0,1,0,2,0,—,—,43,0
West Ham United,1970–71,First Division,39,2,1,0,2,0,—,—,42,2
West Ham United,1971–72,First Division,40,1,4,0,10,0,—,—,54,1
West Ham United,1972–73,First Division,42,3,2,0,2,0,—,—,46,3
West Ham United,1973–74,First Division,22,0,1,0,1,0,1,0,24,0
West Ham United,Total,Total,544,24,36,0,49,3,18,0,647,27
Fulham,1973–74,Second Division,10,1,—,—,—,—,—,—,10,1
Fulham,1974–75,Second Division,41,0,12,0,3,0,—,—,54,0
Fulham,1975–76,Second Division,33,0,1,0,3,0,—,—,37,0
Fulham,1976–77,Second Division,40,0,2,0,5,0,—,—,47,0
Fulham,Total,Total,124,1,15,0,11,0,—,—,148,1
Career total,Career total,Career total,668,25,51,0,60,3,18,0,795,28
