# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Cup Apps,Cup Goals,Continental Apps,Continental Goals,Total Apps,Total Goals
Alianza Lima,1966,Peruvian Primera División,23,19,–,–,,,,
Alianza Lima,1967,Peruvian Primera División,25,9,–,–,–,–,,
Alianza Lima,1968,Peruvian Primera División,26,19,–,–,–,–,,
Alianza Lima,1969,Peruvian Primera División,11,5,–,–,–,–,,
Alianza Lima,1970,Peruvian Primera División,27,22,–,–,–,–,,
Alianza Lima,1971,Peruvian Primera División,29,22,–,–,–,–,,
Alianza Lima,1972,Peruvian Primera División,29,14,–,–,,,,
Alianza Lima,Total,Total,170,110,0,0,,,,
FC Basel,1973,Swiss Super League,10,3,,,,2,,
Porto,1973–74,Primeira Liga,12,4,3,1,-,-,15.0,5.0
Porto,1974–75,Primeira Liga,30,9,6,4,4,2,40.0,15.0
Porto,1975–76,Primeira Liga,29,28,4,4,5,4,38.0,36.0
Porto,1976–77,Primeira Liga,14,7,3,2,2,1,19.0,10.0
Porto,Total,Total,85,48,13,10,10,7,108.0,65.0
Alianza Lima,1977,Peruvian Primera División,32,23,–,,–,–,32.0,23.0
Alianza Lima,1978,Peruvian Primera División,15,12,–,–,10,7,25.0,19.0
Alianza Lima,Total,Total,47,35,0,0,10,7,57.0,42.0
Fort Lauderdale Strikers,1979,NASL,30,16,—,–,–,—,32.0,16.0
Fort Lauderdale Strikers,1980,NASL,34,18,–,–,–,–,34.0,18.0
Fort Lauderdale Strikers,1981,NASL,34,19,–,–,–,–,34.0,19.0
Fort Lauderdale Strikers,1982,NASL,18,4,–,–,–,–,18.0,4.0
Fort Lauderdale Strikers,1983,NASL,23,8,–,–,–,–,23.0,8.0
Fort Lauderdale Strikers,Total,Total,139,65,0,0,0,0,139.0,65.0
Alianza Lima,1984,Peruvian Primera División,4,4,–,–,–,–,4.0,4.0
South Florida Sun,1984,USL,5,4,–,,–,–,5.0,4.0
South Florida Sun,1985,USL,2,1,–,,,,2.0,1.0
South Florida Sun,Total,Total,7,5,0,0,0,0,7.0,5.0
Alianza Lima,1987,Peruvian Primera División,13,3,,,,,13.0,3.0
Fort Lauderdale Strikers,1988,ASL,12,7,–,–,–,–,12.0,7.0
Career total,Career total,Career total,488,280,15,12,31,22,534.0,314.0
