# List of international goals scored by Thomas Müller
No.,Date,Venue,Opponent,Score,Result,Competition
1,13 June 2010,"Moses Mabhida Stadium, Durban, South Africa",Australia,3–0,4–0,2010 FIFA World Cup
2,27 June 2010,"Free State Stadium, Bloemfontein, South Africa",England,3–1,4–1,2010 FIFA World Cup
3,27 June 2010,"Free State Stadium, Bloemfontein, South Africa",England,4–1,4–1,2010 FIFA World Cup
4,3 July 2010,"Cape Town Stadium, Cape Town, South Africa",Argentina,1–0,4–0,2010 FIFA World Cup
5,10 July 2010,"Nelson Mandela Bay Stadium, Port Elizabeth, South Africa",Uruguay,1–0,3–2,2010 FIFA World Cup
6,26 March 2011,"Fritz-Walter-Stadion, Kaiserslautern, Germany",Kazakhstan,2–0,4–0,UEFA Euro 2012 qualification
7,26 March 2011,"Fritz-Walter-Stadion, Kaiserslautern, Germany",Kazakhstan,3–0,4–0,UEFA Euro 2012 qualification
8,7 October 2011,"Türk Telekom Stadium, Istanbul, Turkey",Turkey,2–0,3–1,UEFA Euro 2012 qualification
9,11 November 2011,"Olimpiyskiy National Sports Complex, Kyiv, Ukraine",Ukraine,3–3,3–3,Friendly
10,15 November 2011,"Volksparkstadion, Hamburg, Germany",Netherlands,1–0,3–0,Friendly
11,6 February 2013,"Stade de France, Saint-Denis, France",France,1–1,2–1,Friendly
12,22 March 2013,"Astana Arena, Astana, Kazakhstan",Kazakhstan,1–0,3–0,2014 FIFA World Cup qualification
13,22 March 2013,"Astana Arena, Astana, Kazakhstan",Kazakhstan,3–0,3–0,2014 FIFA World Cup qualification
14,14 August 2013,"Fritz-Walter-Stadion, Kaiserslautern, Germany",Paraguay,2–2,3–3,Friendly
15,6 September 2013,"Allianz Arena, Munich, Germany",Austria,3–0,3–0,2014 FIFA World Cup qualification
16,10 September 2013,"Tórsvøllur, Tórshavn, Faroe Islands",Faroe Islands,3–0,3–0,2014 FIFA World Cup qualification
17,1 June 2014,"Borussia-Park, Mönchengladbach, Germany",Cameroon,1–1,2–2,Friendly
18,16 June 2014,"Itaipava Arena Fonte Nova, Salvador, Brazil",Portugal,1–0,4–0,2014 FIFA World Cup
19,16 June 2014,"Itaipava Arena Fonte Nova, Salvador, Brazil",Portugal,3–0,4–0,2014 FIFA World Cup
20,16 June 2014,"Itaipava Arena Fonte Nova, Salvador, Brazil",Portugal,4–0,4–0,2014 FIFA World Cup
21,26 June 2014,"Itaipava Arena Pernambuco, Recife, Brazil",United States,1–0,1–0,2014 FIFA World Cup
22,8 July 2014,"Mineirão, Belo Horizonte, Brazil",Brazil,1–0,7–1,2014 FIFA World Cup
23,7 September 2014,"Westfalenstadion, Dortmund, Germany",Scotland,1–0,2–1,UEFA Euro 2016 qualification
24,7 September 2014,"Westfalenstadion, Dortmund, Germany",Scotland,2–1,2–1,UEFA Euro 2016 qualification
25,14 November 2014,"Stadion Nürnberg, Nuremberg, Germany",Gibraltar,1–0,4–0,UEFA Euro 2016 qualification
26,14 November 2014,"Stadion Nürnberg, Nuremberg, Germany",Gibraltar,2–0,4–0,UEFA Euro 2016 qualification
27,29 March 2015,"Boris Paichadze Dinamo Arena, Tbilisi, Georgia",Georgia,2–0,2–0,UEFA Euro 2016 qualification
28,4 September 2015,"Stadion am Bornheimer Hang, Frankfurt, Germany",Poland,1–0,3–1,UEFA Euro 2016 qualification
29,7 September 2015,"Hampden Park, Glasgow, Scotland",Scotland,1–0,3–2,UEFA Euro 2016 qualification
30,7 September 2015,"Hampden Park, Glasgow, Scotland",Scotland,2–1,3–2,UEFA Euro 2016 qualification
31,11 October 2015,"Red Bull Arena, Leipzig, Germany",Georgia,1–0,2–1,UEFA Euro 2016 qualification
32,4 June 2016,"Arena AufSchalke, Gelsenkirchen, Germany",Hungary,2–0,2–0,Friendly
33,4 September 2016,"Ullevaal Stadion, Oslo, Norway",Norway,1–0,3–0,2018 FIFA World Cup qualification
34,4 September 2016,"Ullevaal Stadion, Oslo, Norway",Norway,3–0,3–0,2018 FIFA World Cup qualification
35,8 October 2016,"Volksparkstadion, Hamburg, Germany",Czech Republic,1–0,3–0,2018 FIFA World Cup qualification
36,8 October 2016,"Volksparkstadion, Hamburg, Germany",Czech Republic,3–0,3–0,2018 FIFA World Cup qualification
37,26 March 2017,"Tofiq Bahramov Republican Stadium, Baku, Azerbaijan",Azerbaijan,2–1,4–1,2018 FIFA World Cup qualification
38,23 March 2018,"Merkur Spiel-Arena, Düsseldorf, Germany",Spain,1–1,1–1,Friendly
39,7 June 2021,"Merkur Spiel-Arena, Düsseldorf, Germany",Latvia,3–0,7–1,Friendly
40,8 October 2021,"Volksparkstadion, Hamburg, Germany",Romania,2–1,2–1,2022 FIFA World Cup qualification
41,11 November 2021,"Volkswagen Arena, Wolfsburg, Germany",Liechtenstein,6–0,9–0,2022 FIFA World Cup qualification
42,11 November 2021,"Volkswagen Arena, Wolfsburg, Germany",Liechtenstein,8–0,9–0,2022 FIFA World Cup qualification
43,29 March 2022,"Johan Cruyff Arena, Amsterdam, Netherlands",Netherlands,1–0,1–1,Friendly
44,14 June 2022,"Borussia-Park, Mönchengladbach, Germany",Italy,3–0,5–2,2022–23 UEFA Nations League A
45,12 September 2023,"Westfalenstadion, Dortmund, Germany",France,1–0,2–1,Friendly
