# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Millwall,1997–98,Division Two,1,0,0,0,0,0,—,—,0,0,1,0
Millwall,1998–99,Division Two,36,6,0,0,1,0,—,—,4,0,41,6
Millwall,1999–2000,Division Two,45,12,1,0,2,0,—,—,3,0,51,12
Millwall,2000–01,Division Two,41,9,2,0,4,1,—,—,1,0,48,10
Millwall,2001–02,Division One,43,13,2,0,2,0,—,—,2,0,49,13
Millwall,2002–03,Division One,11,3,0,0,0,0,—,—,0,0,11,3
Millwall,2003–04,Division One,40,9,7,3,1,0,—,—,0,0,48,12
Millwall,Total,Total,217,52,12,3,10,1,0,0,10,0,249,56
Everton,2004–05,Premier League,33,11,2,1,3,0,—,—,—,—,38,12
Everton,2005–06,Premier League,32,6,3,1,0,0,4,1,—,—,39,8
Everton,2006–07,Premier League,18,5,0,0,3,2,—,—,—,—,21,7
Everton,2007–08,Premier League,18,7,0,0,4,1,6,2,—,—,28,10
Everton,2008–09,Premier League,30,8,7,1,1,0,2,0,—,—,40,9
Everton,2009–10,Premier League,33,8,2,1,1,0,7,1,—,—,43,10
Everton,2010–11,Premier League,27,9,1,0,0,0,—,—,—,—,28,9
Everton,2011–12,Premier League,35,2,4,1,2,0,—,—,—,—,41,3
Everton,Total,Total,226,56,19,5,14,3,19,4,0,0,278,68
New York Red Bulls,2012,Major League Soccer,12,1,0,0,—,—,–,–,2,0,14,1
New York Red Bulls,2013,Major League Soccer,27,11,0,0,—,—,–,–,2,1,29,12
New York Red Bulls,2014,Major League Soccer,23,2,0,0,—,—,1,0,5,1,29,3
New York Red Bulls,Total,Total,62,14,0,0,0,0,1,0,9,2,72,16
Shanghai Shenhua,2015,Chinese Super League,28,11,6,1,—,—,—,—,—,—,34,12
Hangzhou Greentown,2016,Chinese Super League,17,4,0,0,—,—,—,—,—,—,17,4
Melbourne City,2016–17,A-League,21,11,4,2,—,—,—,—,1,0,26,13
Melbourne City,2017–18,A-League,6,0,1,0,—,—,—,—,—,—,7,0
Melbourne City,Total,Total,27,11,5,2,0,0,0,0,1,0,33,13
Millwall,2017–18,Championship,10,0,0,0,0,0,—,—,0,0,10,0
Jamshedpur,2018–19,Indian Super League,12,2,—,—,0,0,0,0,—,—,12,2
Career total,Career total,Career total,599,150,42,11,24,4,20,4,20,2,705,171
