# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Celtic,1962–63,Scottish Division One,19,4,6,5,6,2,0,0,3,3,34,14
Celtic,1963–64,Scottish Division One,26,15,3,1,3,0,7,3,5,2,44,21
Celtic,1964–65,Scottish Division One,32,8,6,0,9,5,4,2,3,1,54,16
Celtic,1965–66,Scottish Division One,31,5,7,2,11,2,8,2,0,0,57,11
Celtic,1966–67,Scottish Division One,31,4,4,2,10,2,9,0,3,0,57,8
Celtic,1967–68,Scottish Division One,34,6,1,0,9,2,2,0,4,1,50,9
Celtic,1968–69,Scottish Division One,30,4,7,2,8,1,5,1,0,0,50,8
Celtic,1969–70,Scottish Division One,26,5,5,0,6,0,7,1,2,0,46,6
Celtic,1970–71,Scottish Division One,23,2,1,0,8,0,4,2,2,1,38,5
Celtic,1971–72,Scottish Division One,15,4,6,1,6,0,6,0,0,0,33,5
Celtic,1972–73,Scottish Division One,24,4,7,0,7,3,2,0,3,0,43,7
Celtic,1973–74,Scottish Division One,0,0,0,0,1,0,0,0,0,0,1,0
Celtic,Total,Total,291,61,53,13,84,17,54,11,25,8,507,110
Middlesbrough,1973–74,Second Division,34,5,2,0,3,0,0,0,0,0,39,5
Middlesbrough,1974–75,First Division,39,1,4,1,4,0,0,0,0,0,47,2
Middlesbrough,1975–76,First Division,22,0,1,0,6,0,0,0,0,0,29,0
Middlesbrough,Total,Total,95,6,7,1,13,0,0,0,0,0,115,7
Career total,Career total,Career total,386,67,60,14,97,17,54,11,25,8,622,117
