# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Birmingham City,1970–71,Second Division,22,15,2,0,2,0,—,—,—,—,26,15
Birmingham City,1971–72,Second Division,39,12,6,2,1,0,—,—,2,1,48,15
Birmingham City,1972–73,First Division,31,6,1,0,5,2,—,—,—,—,37,8
Birmingham City,1973–74,First Division,37,6,2,1,5,1,—,—,3,1,47,9
Birmingham City,1974–75,First Division,23,13,2,0,1,0,—,—,2,1,28,14
Birmingham City,1975–76,First Division,35,17,2,1,2,0,—,—,—,—,39,18
Birmingham City,1976–77,First Division,42,21,2,0,1,0,—,—,—,—,45,21
Birmingham City,1977–78,First Division,42,25,2,2,1,0,—,—,3,2,48,29
Birmingham City,1978–79,First Division,9,3,1,0,1,1,—,—,—,—,11,4
Birmingham City,Total,Total,280,118,20,6,19,4,—,—,10,5,329,133
Detroit Express (loan),1978,NASL,19,22,—,—,—,—,—,—,3,3,22,25
Nottingham Forest,1978–79,First Division,20,6,—,—,—,—,1,1,—,—,21,7
Nottingham Forest,1979–80,First Division,30,14,2,0,6,0,6,3,—,—,44,17
Nottingham Forest,1980–81,First Division,18,6,6,5,,,1,0,1,0,26,11
Nottingham Forest,1981–82,First Division,2,2,—,—,—,—,—,—,—,—,2,2
Nottingham Forest,Total,Total,70,28,8,5,6,0,8,4,1,0,93,37
Detroit Express (loan),1979,NASL,14,14,—,—,—,—,—,—,2,0,16,14
Manchester City,1981–82,First Division,26,12,2,2,1,0,—,—,—,—,29,14
Sampdoria,1982–83,Serie A,14,7,5,1,—,—,—,—,—,—,19,8
Sampdoria,1983–84,Serie A,15,3,7,2,—,—,—,—,—,—,23,5
Sampdoria,1984–85,Serie A,24,6,11,9,—,—,—,—,—,—,35,15
Sampdoria,1985–86,Serie A,14,1,11,1,—,—,3,0,—,—,28,2
Sampdoria,Total,Total,67,17,34,13,—,—,3,0,—,—,104,30
Atalanta,1986–87,Serie A,21,1,9,2,—,—,—,—,—,—,30,3
Rangers,1987–88,Scottish Premier Division,18,0,1,0,2,0,4,0,—,—,25,0
Queens Park Rangers,1987–88,First Division,9,0,—,—,—,—,—,—,—,—,9,0
Queens Park Rangers,1988–89,First Division,19,7,1,0,5,3,—,—,1,0,26,10
Queens Park Rangers,1989–90,First Division,4,5,0,0,3,0,—,—,—,—,7,5
Queens Park Rangers,Total,Total,32,12,1,0,8,3,—,—,1,0,42,15
Wollongong City (loan),1988,National Soccer League,3,2,—,—,—,—,—,—,—,—,3,2
Sheffield Wednesday,1989–90,First Division,12,0,—,—,—,—,—,—,—,—,12,0
Sheffield Wednesday,1990–91,Second Division,38,4,3,1,6,1,—,—,1,0,48,6
Sheffield Wednesday,1991–92,First Division,20,1,1,0,1,2,—,—,—,—,22,3
Sheffield Wednesday,1992–93,Premier League,5,0,0,0,1,0,1,0,—,—,7,0
Sheffield Wednesday,1993–94,Premier League,1,0,0,0,0,0,—,—,—,—,1,0
Sheffield Wednesday,Total,Total,76,5,4,1,8,3,1,0,1,0,90,9
Career total,Career total,Career total,626,231,79,29,44,10,16,4,18,8,783,282
