# List of international goals scored by Trevor Francis
No.,Date,Venue,Opponent,Score,Result,Competition,Ref.
1,30 March 1977,"Wembley Stadium, London, England",Luxembourg,2–0,5–0,1978 FIFA World Cup qualification,
2,24 May 1978,"Wembley Stadium, London, England",Hungary,3–0,4–1,Friendly,
3,17 October 1979,"Windsor Park, Belfast, Northern Ireland",Northern Ireland,1–0,5–1,UEFA Euro 1980 qualification,
4,17 October 1979,"Windsor Park, Belfast, Northern Ireland",Northern Ireland,3–1,5–1,UEFA Euro 1980 qualification,
5,26 March 1980,"Camp Nou, Barcelona, Spain",Spain,2–0,2–0,Friendly,
6,27 April 1982,"Ninian Park, Cardiff, Wales",Wales,1–0,1–0,1981–82 British Home Championship,
7,20 June 1982,"Estadio San Mamés, Bilbao, Spain",Czechoslovakia,1–0,2–0,1982 FIFA World Cup Group stage,
8,25 June 1982,"Estadio San Mamés, Bilbao, Spain",Kuwait,1–0,1–0,1982 FIFA World Cup Group stage,
9,22 September 1982,"Idrætsparken, Copenhagen, Denmark",Denmark,1–0,2–2,UEFA Euro 1984 qualification,
10,22 September 1982,"Idrætsparken, Copenhagen, Denmark",Denmark,2–1,2–2,UEFA Euro 1984 qualification,
11,27 April 1983,"Wembley Stadium, London, England",Hungary,1–0,2–0,UEFA Euro 1984 qualification,
12,19 June 1983,"Olympic Park Stadium, Melbourne, Australia",Australia,1–0,1–1,Friendly,
