# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National Cup Apps,National Cup Goals,League Cup Apps,League Cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Anderlecht,2003–04,Belgian First Division,29,2,5,0,—,—,9,0,1,0,44,2
Anderlecht,2004–05,Belgian First Division,32,2,1,0,—,—,7,0,—,—,40,2
Anderlecht,2005–06,Belgian First Division,12,1,1,0,—,—,6,1,—,—,19,2
Anderlecht,Total,Total,73,5,7,0,—,—,22,1,1,0,103,6
Hamburger SV,2006–07,Bundesliga,6,0,0,0,2,1,5,0,—,—,13,1
Hamburger SV,2007–08,Bundesliga,22,1,4,0,—,—,11,2,—,—,37,3
Hamburger SV,2008–09,Bundesliga,1,0,0,0,—,—,0,0,—,—,1,0
Hamburger SV,Total,Total,29,1,4,0,2,1,16,2,—,—,51,4
Manchester City,2008–09,Premier League,34,1,1,0,1,0,9,0,—,—,45,1
Manchester City,2009–10,Premier League,25,2,3,0,4,0,—,—,—,—,32,2
Manchester City,2010–11,Premier League,37,0,5,0,0,0,8,0,—,—,50,0
Manchester City,2011–12,Premier League,31,3,1,0,0,0,9,0,1,0,42,3
Manchester City,2012–13,Premier League,26,1,4,0,0,0,6,0,1,0,37,1
Manchester City,2013–14,Premier League,28,4,2,0,3,0,4,1,—,—,37,5
Manchester City,2014–15,Premier League,25,0,1,0,0,0,7,0,0,0,33,0
Manchester City,2015–16,Premier League,14,2,0,0,1,0,7,0,—,—,22,2
Manchester City,2016–17,Premier League,11,3,2,0,2,0,0,0,—,—,15,3
Manchester City,2017–18,Premier League,17,1,1,0,1,1,2,0,—,—,21,2
Manchester City,2018–19,Premier League,17,1,1,0,3,0,4,0,1,0,26,1
Manchester City,Total,Total,265,18,21,0,15,1,56,1,3,0,360,20
Anderlecht,2019–20,Belgian First Division A,15,1,3,0,—,—,—,—,—,—,18,1
Career total,Career total,Career total,382,25,35,0,17,2,94,4,4,0,532,31
