# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Groningen,2010–11,Eredivisie,5,2,0,0,—,—,—,—,—,—,5,2
Groningen,2011–12,Eredivisie,23,3,1,0,—,—,—,—,—,—,24,3
Groningen,2012–13,Eredivisie,34,2,3,0,—,—,—,—,—,—,37,2
Groningen,Total,Total,62,7,4,0,—,—,—,—,—,—,66,7
Celtic,2013–14,Scottish Premiership,36,5,2,0,1,0,8,0,—,—,47,5
Celtic,2014–15,Scottish Premiership,35,4,5,4,4,0,14,2,—,—,58,10
Celtic,2015–16,Scottish Premiership,5,0,—,—,—,—,5,0,—,—,10,0
Celtic,Total,Total,76,9,7,4,5,0,27,2,—,—,115,15
Southampton,2015–16,Premier League,34,3,1,0,3,0,—,—,—,—,38,3
Southampton,2016–17,Premier League,21,1,1,1,2,0,6,2,—,—,30,4
Southampton,2017–18,Premier League,12,0,—,—,0,0,—,—,—,—,12,0
Southampton,Total,Total,67,4,2,1,5,0,6,2,—,—,80,7
Liverpool,2017–18,Premier League,14,0,2,1,—,—,6,0,—,—,22,1
Liverpool,2018–19,Premier League,38,4,0,0,0,0,12,2,—,—,50,6
Liverpool,2019–20,Premier League,38,5,1,0,0,0,8,0,3,0,50,5
Liverpool,2020–21,Premier League,5,1,0,0,2,0,0,0,1,0,8,1
Liverpool,2021–22,Premier League,34,3,5,0,3,0,9,0,—,—,51,3
Liverpool,2022–23,Premier League,32,3,0,0,0,0,8,0,1,0,41,3
Liverpool,2023–24,Premier League,36,2,3,1,4,1,5,0,—,—,48,4
Liverpool,2024–25,Premier League,37,3,0,0,3,1,9,1,—,—,49,5
Liverpool,2025–26,Premier League,6,0,0,0,0,0,1,1,1,0,8,1
Liverpool,Total,Total,240,21,11,2,12,2,58,4,6,0,327,29
Career total,Career total,Career total,445,41,24,7,22,2,91,8,6,0,588,58
