# List of international goals scored by Virgil van Dijk
No.,Date,Venue,Cap,Opponent,Score,Result,Competition,Ref.
1,26 March 2018,"Stade de Genève, Geneva, Switzerland",18,Portugal,3–0,3–0,Friendly,
2,13 October 2018,"Johan Cruyff Arena, Amsterdam, Netherlands",22,Germany,1–0,3–0,2018–19 UEFA Nations League A,
3,19 November 2018,"Arena AufSchalke, Gelsenkirchen, Germany",24,Germany,2–2,2–2,2018–19 UEFA Nations League A,
4,21 March 2019,"De Kuip, Rotterdam, Netherlands",25,Belarus,4–0,4–0,UEFA Euro 2020 qualifying,
5,11 October 2021,"De Kuip, Rotterdam, Netherlands",42,Gibraltar,1–0,6–0,2022 FIFA World Cup qualification,
6,25 September 2022,"Johan Cruyff Arena, Amsterdam, Netherlands",49,Belgium,1–0,1–0,2022–23 UEFA Nations League A,
7,16 October 2023,"Agia Sophia Stadium, Athens, Greece",62,Greece,1–0,1–0,UEFA Euro 2024 qualifying,
8,6 June 2024,"De Kuip, Rotterdam, Netherlands",67,Canada,4–0,4–0,Friendly,
9,10 June 2024,"De Kuip, Rotterdam, Netherlands",68,Iceland,2–0,4–0,Friendly,
10,10 June 2025,"Euroborg, Groningen, Netherlands",82,Malta,3–0,8–0,2026 FIFA World Cup qualification,
