# List of international goals scored by Wesley Sneijder
No.,Date,Venue,Opponent,Score,Result,Competition
1.0,11 October 2003,"Philips Stadion, Eindhoven, Netherlands",Moldova,2–0,5–0,UEFA Euro 2004 qualification
2.0,19 November 2003,"Amsterdam Arena, Amsterdam, Netherlands",Scotland,1–0,6–0,UEFA Euro 2004 qualification
3.0,18 August 2004,"Råsunda Stadium, Stockholm, Sweden",Sweden,1–1,2–2,Friendly
4.0,8 June 2005,"Amsterdam Arena, Amsterdam, Netherlands",Finland,1–1,3–1,2006 FIFA World Cup qualification
5.0,17 August 2005,"Estadi Olímpic Lluís Companys, Barcelona, Spain",Andorra,3–0,3–0,2006 FIFA World Cup qualification
6.0,24 March 2007,"Amsterdam Arena, Amsterdam, Netherlands",Russia,2–0,4–1,Friendly
7.0,8 September 2007,"Amsterdam Arena, Amsterdam, Netherlands",Bulgaria,1–0,2–0,UEFA Euro 2008 qualification
8.0,17 October 2007,"Philips Stadion, Eindhoven, Netherlands",Slovenia,1–0,2–0,UEFA Euro 2008 qualification
9.0,1 May 2008,"De Kuip, Rotterdam, Netherlands",Wales,2–0,2–0,Friendly
10.0,9 June 2008,"Stade de Suisse, Bern, Switzerland",Italy,2–0,3–0,UEFA Euro 2008
11.0,13 June 2008,"Stade de Suisse, Bern, Switzerland",France,4–1,4–1,UEFA Euro 2008
12.0,9 May 2009,"Grolsch Veste, Enschede, Netherlands",Japan,2–0,3–0,Friendly
13.0,1 June 2010,"De Kuip, Rotterdam, Netherlands",Ghana,3–1,4–1,Friendly
14.0,5 June 2010,"Amsterdam Arena, Amsterdam, Netherlands",Hungary,2–1,6–1,Friendly
15.0,19 June 2010,"Moses Mabhida Stadium, Durban, South Africa",Japan,1–0,1–0,2010 FIFA World Cup
16.0,28 June 2010,"Moses Mabhida Stadium, Durban, South Africa",Slovakia,2–0,2–1,2010 FIFA World Cup
17.0,2 July 2010,"Nelson Mandela Bay Stadium, Port Elizabeth, South Africa",Brazil,1–1,2–1,2010 FIFA World Cup
18.0,2 July 2010,"Nelson Mandela Bay Stadium, Port Elizabeth, South Africa",Brazil,2–1,2–1,2010 FIFA World Cup
19.0,6 July 2010,"Cape Town Stadium, Cape Town, South Africa",Uruguay,2–1,3–2,2010 FIFA World Cup
20.0,9 February 2011,"Philips Stadion, Eindhoven, Netherlands",Austria,1–0,3–1,Friendly
21.0,29 March 2011,"Amsterdam Arena, Amsterdam, Netherlands",Hungary,2–2,5–3,UEFA Euro 2012 qualification
22.0,3 September 2011,"Philips Stadion, Eindhoven, Netherlands",San Marino,2–0,11–0,UEFA Euro 2012 qualification
23.0,3 September 2011,"Philips Stadion, Eindhoven, Netherlands",San Marino,10–0,11–0,UEFA Euro 2012 qualification
24.0,2 June 2012,"Amsterdam Arena, Amsterdam, Netherlands",Northern Ireland,2–0,6–0,Friendly
25.0,11 June 2013,"Workers Stadium, Beijing, China",China,2–0,2–0,Friendly
26.0,15 October 2013,"Şükrü Saracoğlu Stadium, Istanbul, Turkey",Turkey,2–0,2–0,2014 FIFA World Cup qualification
27.0,29 June 2014,"Estádio Castelão, Fortaleza, Brazil",Mexico,1–1,2–1,2014 FIFA World Cup
28.0,12 November 2014,"Amsterdam Arena, Amsterdam, Netherlands",Mexico,1–1,2–3,Friendly
29.0,10 October 2015,"Astana Arena, Astana, Kazakhstan",Kazakhstan,2–0,2–1,UEFA Euro 2016 qualifying
30.0,6 September 2016,"Friends Arena, Solna, Sweden",Sweden,1–1,1–1,2018 FIFA World Cup qualification
31.0,9 June 2017,"De Kuip, Rotterdam, Netherlands",Luxembourg,2–0,5–0,2018 FIFA World Cup qualification
