# Appearances and goals by club, season and competition
Club,Season,League Apps,League Goals,Scottish Cup Apps,Scottish Cup Goals,Scottish League Cup Apps,Scottish League Cup Goals,Europe Apps,Europe Goals,Total Apps,Total Goals
Aberdeen,1972–73,1,0,0,0,0,0,0,0,1,0
Aberdeen,1973–74,31,1,1,0,9,0,4,0,46,0
Aberdeen,1974–75,34,1,4,1,6,0,0,0,44,2
Aberdeen,1975–76,36,0,2,1,6,0,0,0,44,1
Aberdeen,1976–77,36,0,3,0,8,0,0,0,47,0
Aberdeen,1977–78,36,2,6,0,6,0,2,0,50,2
Aberdeen,1978–79,34,0,5,1,8,0,4,0,51,1
Aberdeen,1979–80,31,1,5,1,8,0,2,0,46,2
Aberdeen,1980–81,33,2,1,0,6,0,4,0,44,2
Aberdeen,1981–82,36,0,6,0,10,0,6,0,58,0
Aberdeen,1982–83,36,2,5,0,8,0,11,1,60,3
Aberdeen,1983–84,34,2,7,1,9,1,10,0,60,4
Aberdeen,1984–85,35,3,6,0,1,0,2,0,43,3
Aberdeen,1985–86,33,1,6,1,6,0,6,1,51,3
Aberdeen,1986–87,36,2,3,0,2,0,2,0,43,2
Aberdeen,1987–88,42,3,6,0,5,0,4,0,57,3
Aberdeen,1988–89,22,1,0,0,5,2,2,0,29,3
Aberdeen,1989–90,15,0,0,0,5,0,2,0,22,0
Aberdeen,1990–91,0,0,0,0,1,0,0,0,1,0
Career total,Career total,560,21,66,6,109,3,61,2,797,32
