# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Cup Apps,Cup Goals,Continental Apps,Continental Goals,Total Apps,Total Goals
Feyenoord,1965–66,Eredivisie,2,0,,,–,–,,
Feyenoord,1966–67,Eredivisie,34,2,,,–,–,,
Feyenoord,1967–68,Eredivisie,34,6,,,–,–,,
Feyenoord,1968–69,Eredivisie,33,3,,,2,0,,
Feyenoord,1969–70,Eredivisie,34,8,,,9,1,,
Feyenoord,1970–71,Eredivisie,34,2,1,1,4,1,,
Feyenoord,1971–72,Eredivisie,34,2,,,6,0,,
Feyenoord,1972–73,Eredivisie,27,3,,,4,2,,
Feyenoord,1973–74,Eredivisie,30,0,,,12,0,,
Feyenoord,1974–75,Eredivisie,28,3,,,4,0,,
Feyenoord,1975–76,Eredivisie,26,1,,,2,0,,
Feyenoord,1976–77,Eredivisie,21,1,,,6,1,,
Feyenoord,1977–78,Eredivisie,32,0,,,–,–,,
Feyenoord,1978–79,Eredivisie,30,1,,,–,–,,
Feyenoord,1979–80,Eredivisie,16,1,,,5,0,,
Feyenoord,Total,Total,415,33,,,52,5,,
Washington Diplomats,1980,NASL,27,0,–,–,–,–,27.0,0.0
Ajax,1980–81,Eredivisie,17,0,,,–,–,,
Ajax,1981–82,Eredivisie,32,0,2,0,2,0,36.0,0.0
Ajax,Total,Total,49,0,,,2,0,,
Career total,Career total,Career total,491,33,,,54,5,,
