# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Real Sociedad,1999–2000,La Liga,0,0,1,0,–,–,–,–,–,–,1,0
Real Sociedad,2000–01,La Liga,18,0,0,0,–,–,–,–,–,–,18,0
Real Sociedad,2001–02,La Liga,29,3,0,0,–,–,–,–,–,–,29,3
Real Sociedad,2002–03,La Liga,33,3,1,0,–,–,–,–,–,–,34,3
Real Sociedad,2003–04,La Liga,34,3,0,0,–,–,8,1,–,–,42,4
Real Sociedad,Total,Total,114,9,2,0,–,–,8,1,–,–,124,10
Eibar (loan),2000–01,Segunda División,14,0,0,0,–,–,–,–,–,–,14,0
Liverpool,2004–05,Premier League,24,2,0,0,0,0,8,1,–,–,32,3
Liverpool,2005–06,Premier League,35,3,5,2,0,0,11,0,2,0,53,5
Liverpool,2006–07,Premier League,32,4,1,0,2,0,15,0,1,0,51,4
Liverpool,2007–08,Premier League,19,2,3,0,1,0,4,0,–,–,27,2
Liverpool,2008–09,Premier League,33,4,3,0,1,0,10,1,–,–,47,5
Liverpool,Total,Total,143,15,12,2,4,0,48,2,3,0,210,19
Real Madrid,2009–10,La Liga,34,3,0,0,–,–,7,0,–,–,41,3
Real Madrid,2010–11,La Liga,34,0,7,1,–,–,11,0,–,–,52,1
Real Madrid,2011–12,La Liga,36,1,4,0,–,–,10,0,2,1,52,2
Real Madrid,2012–13,La Liga,28,0,7,0,–,–,10,0,2,0,47,0
Real Madrid,2013–14,La Liga,26,0,7,0,–,–,9,0,0,0,42,0
Real Madrid,2014–15,La Liga,0,0,0,0,–,–,0,0,2,0,2,0
Real Madrid,Total,Total,158,4,25,1,–,–,47,0,6,1,236,6
Bayern Munich,2014–15,Bundesliga,26,2,4,0,–,–,10,2,0,0,40,4
Bayern Munich,2015–16,Bundesliga,26,0,4,1,–,–,8,1,1,0,39,2
Bayern Munich,2016–17,Bundesliga,27,3,3,0,–,–,7,0,1,0,38,3
Bayern Munich,Total,Total,79,5,11,1,–,–,25,3,2,0,117,9
Career total,Career total,Career total,508,33,50,4,4,0,128,6,11,1,701,44
