# Appearances and goals by year and competition
National team,Year,Competitive Apps,Competitive Goals,Friendly Apps,Friendly Goals,Total Apps,Total Goals
Spain,2000,–,–,1,0,1,0
Spain,2001,1,0,–,–,1,0
Spain,2002,5,0,4,0,9,0
Spain,2003,3,0,2,0,5,0
Spain,2004,2,0,4,0,6,0
Spain,2005,8,0,3,1,11,1
Spain,2006,6,1,4,1,10,2
Spain,2007,8,3,3,0,11,3
Spain,2008,9,1,6,2,15,3
Spain,2009,9,0,5,0,14,0
Spain,2010,8,0,7,0,15,0
Spain,2011,5,2,4,0,9,2
Spain,2012,9,0,3,1,12,1
Spain,2013,8,1,3,0,11,1
Spain,2014,1,0,2,0,3,0
Total,Total,82,8,51,5,133,13
