# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Beveren,2001–02,Belgian First Division,28,0,0,0,—,—,—,—,—,—,28,0
Beveren,2002–03,Belgian First Division,30,3,0,0,—,—,—,—,—,—,30,3
Beveren,2003–04,Belgian First Division,12,0,0,0,—,—,—,—,—,—,12,0
Beveren,Total,Total,70,3,0,0,—,—,—,—,—,—,70,3
Metalurh Donetsk,2003–04,Vyshcha Liha,11,1,0,0,—,—,—,—,—,—,11,1
Metalurh Donetsk,2004–05,Vyshcha Liha,22,2,2,1,—,—,4,1,—,—,28,4
Metalurh Donetsk,Total,Total,33,3,2,1,—,—,4,1,—,—,39,5
Olympiacos,2005–06,Alpha Ethniki,20,3,0,0,—,—,6,0,—,—,26,3
Monaco,2006–07,Ligue 1,27,5,0,0,1,0,—,—,—,—,28,5
Barcelona,2007–08,La Liga,26,1,3,0,—,—,9,1,—,—,38,2
Barcelona,2008–09,La Liga,25,2,6,1,—,—,12,0,—,—,43,3
Barcelona,2009–10,La Liga,23,1,1,0,—,—,8,0,5,0,37,1
Barcelona,Total,Total,74,4,10,1,—,—,29,1,5,0,118,6
Manchester City,2010–11,Premier League,35,8,7,3,0,0,8,1,—,—,50,12
Manchester City,2011–12,Premier League,32,6,0,0,0,0,9,3,1,0,42,9
Manchester City,2012–13,Premier League,32,7,4,1,0,0,5,1,1,1,42,10
Manchester City,2013–14,Premier League,35,20,4,0,3,3,7,1,—,—,49,24
Manchester City,2014–15,Premier League,29,10,1,0,2,1,5,1,1,0,38,12
Manchester City,2015–16,Premier League,32,6,0,0,5,1,10,1,—,—,47,8
Manchester City,2016–17,Premier League,25,5,4,2,0,0,2,0,—,—,31,7
Manchester City,2017–18,Premier League,10,0,0,0,4,0,3,0,—,—,17,0
Manchester City,Total,Total,230,62,20,6,14,5,49,8,3,1,316,82
Olympiacos,2018–19,Super League Greece,2,0,1,0,—,—,2,0,—,—,5,0
Qingdao Huanghai,2019,China League One,14,2,—,—,—,—,—,—,—,—,14,2
Career total,Career total,Career total,470,82,33,8,15,5,90,10,8,1,616,106
