# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Cup Apps,Cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Cannes,1988–89,Division 1,2,0,0,0,—,—,—,—,2,0
Cannes,1989–90,Division 1,0,0,0,0,—,—,—,—,0,0
Cannes,1990–91,Division 1,28,1,3,0,—,—,—,—,31,1
Cannes,1991–92,Division 1,31,5,3,0,4,0,—,—,38,5
Cannes,Totals,Totals,61,6,6,0,4,0,0,0,71,6
Bordeaux,1992–93,Division 1,35,10,4,1,—,—,—,—,39,11
Bordeaux,1993–94,Division 1,34,6,3,0,6,2,—,—,43,8
Bordeaux,1994–95,Division 1,37,6,5,1,4,1,—,—,46,8
Bordeaux,1995–96,Division 1,33,6,3,0,15,6,—,—,51,12
Bordeaux,Totals,Totals,139,28,15,2,25,9,0,0,179,39
Juventus,1996–97,Serie A,29,5,2,0,10,2,3,0,44,7
Juventus,1997–98,Serie A,32,7,5,1,11,3,1,0,49,11
Juventus,1998–99,Serie A,25,2,5,0,10,0,1,0,41,2
Juventus,1999–2000,Serie A,32,4,3,1,6,0,—,—,41,5
Juventus,2000–01,Serie A,33,6,2,0,4,0,—,—,39,6
Juventus,Totals,Totals,151,24,17,2,41,5,5,0,214,31
Real Madrid,2001–02,La Liga,31,7,9,2,9,3,2,0,51,12
Real Madrid,2002–03,La Liga,33,9,1,0,14,3,2,0,50,12
Real Madrid,2003–04,La Liga,33,6,7,1,10,3,2,0,52,10
Real Madrid,2004–05,La Liga,29,6,1,0,10,0,—,—,40,6
Real Madrid,2005–06,La Liga,29,9,5,0,4,0,—,—,38,9
Real Madrid,Total,Total,155,37,23,3,47,9,6,0,230,49
Career total,Career total,Career total,506,95,61,7,117,23,11,0,695,125
