# International goals scored by Zinedine Zidane
No.,Cap,Date,Venue,Opponent,Score,Result,Competition
1,1,17 August 1994,"Stade Chaban-Delmas, Bordeaux, France",Czech Republic,1–2,2–2,Friendly
2,1,17 August 1994,"Stade Chaban-Delmas, Bordeaux, France",Czech Republic,2–2,2–2,Friendly
3,6,6 September 1995,"Stade de l'Abbé-Deschamps, Auxerre, France",Azerbaijan,7–0,10–0,UEFA Euro 1996 qualifying
4,7,11 October 1995,"Stadionul Steaua, Bucharest, Romania",Romania,3–1,3–1,UEFA Euro 1996 qualifying
5,10,21 February 1996,"Stade des Costières, Nîmes, France",Greece,3–1,3–1,Friendly
6,26,11 June 1997,"Parc des Princes, Paris, France",Italy,1–0,2–2,1997 Tournoi de France
7,29,28 January 1998,"Stade de France, Saint-Denis, France",Spain,1–0,1–0,Friendly
8,30,25 February 1998,"Stade Vélodrome, Marseille, France",Norway,2–1,3–3,Friendly
9,32,27 May 1998,"Stade Mohammed V, Casablanca, Morocco",Belgium,1–0,1–0,1998 King Hassan II Cup
10,39,12 July 1998,"Stade de France, Saint-Denis, France",Brazil,1–0,3–0,1998 FIFA World Cup final
11,39,12 July 1998,"Stade de France, Saint-Denis, France",Brazil,2–0,3–0,1998 FIFA World Cup final
12,47,8 September 1999,"Hrazdan Stadium, Yerevan, Armenia",Armenia,2–1,3–2,UEFA Euro 2000 qualifying
13,50,23 February 2000,"Stade de France, Saint-Denis, France",Poland,1–0,1–0,Friendly
14,53,4 June 2000,"Stade Mohamed V, Casablanca, Morocco",Japan,1–0,2–2,2000 King Hassan II Cup
15,57,25 June 2000,"Jan Breydel Stadium, Bruges, Belgium",Spain,1–0,2–1,UEFA Euro 2000
16,58,28 June 2000,"King Baudouin Stadium, Brussels, Belgium",Portugal,2–1‡,2–1,UEFA Euro 2000
17,63,27 February 2001,"Stade de France, Saint-Denis, France",Germany,1–0,1–0,Friendly
18,64,24 March 2001,"Stade de France, Saint-Denis, France",Japan,1–0‡,5–0,Friendly
19,72,27 March 2002,"Stade de France, Saint-Denis, France",Scotland,1–0,5–0,Friendly
20,81,29 March 2003,"Stade Bollaert-Delelis, Lens, Pas-de-Calais, France",Malta,4–0,6–0,UEFA Euro 2004 qualifying
21,81,29 March 2003,"Stade Bollaert-Delelis, Lens, Pas-de-Calais, France",Malta,6–0‡,6–0,UEFA Euro 2004 qualifying
22,82,2 April 2003,"Stadio Renzo Barbera, Palermo, Italy",Israel,2–0,2–1,UEFA Euro 2004 qualifying
23,89,6 June 2004,"Stade de France, Saint-Denis, France",Ukraine,1–0,1–0,Friendly
24,90,13 June 2004,"Estádio da Luz, Lisbon, Portugal",England,1–1,2–1,UEFA Euro 2004
25,90,13 June 2004,"Estádio da Luz, Lisbon, Portugal",England,2–1‡,2–1,UEFA Euro 2004
26,92,21 June 2004,"Estádio Cidade de Coimbra, Coimbra, Portugal",Switzerland,1–0,3–1,UEFA Euro 2004
27,94,17 August 2005,"Stade de la Mosson, Montpellier, France",Ivory Coast,2–0,3–0,Friendly
28,98,12 October 2005,"Stade de France, Saint-Denis, France",Cyprus,1–0,4–0,2006 FIFA World Cup qualification
29,105,27 June 2006,"Niedersachsenstadion, Hannover, Germany",Spain,3–1,3–1,2006 FIFA World Cup
30,107,5 July 2006,"Allianz Arena, Munich, Germany",Portugal,1–0‡,1–0,2006 FIFA World Cup
31,108,9 July 2006,"Olympiastadion, Berlin, Germany",Italy,1–0‡,1–1 (3–5 p),2006 FIFA World Cup final
