# Table 3
#,Date,Venue,Opponent,Score,Result,Competition
1.0,17 July 1996,"Workers' Stadium, Beijing, China",China,1–0,1–1,Friendly
2.0,25 August 1996,"Osaka Nagai Stadium, Osaka, Japan",Japan,1–1,3–5,Friendly
3.0,25 August 1996,"Osaka Nagai Stadium, Osaka, Japan",Japan,3–4,3–5,Friendly
4.0,15 June 1997,"Estadio Olímpico Patria, Sucre, Bolivia",Venezuela,1–0,2–0,1997 Copa América
5.0,10 September 1997,"Estadio Nacional, Lima, Peru",Peru,1–0,1–2,1998 FIFA World Cup qualification
6.0,17 December 1997,"King Fahd II Stadium, Riyadh, Saudi Arabia",South Africa,2–1,4–3,1997 FIFA Confederations Cup
7.0,17 February 2000,"Estadio Campus Municipal, Maldonado, Uruguay",Hungary,1–0,2–0,Friendly
8.0,4 September 2001,"Estadio Nacional, Lima, Peru",Peru,2–0,2–0,2002 FIFA World Cup qualification
9.0,11 June 2002,"Suwon World Cup Stadium, Suwon, South Korea",Senegal,3–3,3–3,2002 FIFA World Cup
10.0,12 October 2005,"Estadio Centenario, Montevideo, Uruguay",Argentina,1–0,1–0,2006 FIFA World Cup qualification
11.0,2 June 2007,"Telstra Stadium, Sydney, Australia",Australia,2–1,2–1,Friendly
