# List of international goals scored by Bryan Robson
No.,Date,Venue,Opponent,Score,Result,Competition
1,9 September 1981,"Ullevaal Stadion, Oslo, Norway",Norway,1–0,1–2,1982 FIFA World Cup qualification
2,23 February 1982,"Wembley Stadium, London, England",Northern Ireland,1–0,4–0,British Home Championship
3,3 June 1982,"Helsinki Olympic Stadium, Helsinki, Finland",Finland,2–0,4–0,Friendly
4,3 June 1982,"Helsinki Olympic Stadium, Helsinki, Finland",Finland,3–0,4–0,Friendly
5,16 June 1982,"Estadio San Mamés, Bilbao, Spain",France,1–0,3–1,1982 FIFA World Cup
6,16 June 1982,"Estadio San Mamés, Bilbao, Spain",France,2–1,3–1,1982 FIFA World Cup
7,1 June 1983,"Wembley Stadium, London, England",Scotland,1–0,2–0,British Home Championship
8,16 November 1983,"Stade Municipale, Belair, Luxembourg",Luxembourg,1–0,4–0,UEFA Euro 1984 qualifying
9,16 November 1983,"Stade Municipale, Belair, Luxembourg",Luxembourg,4–0,4–0,UEFA Euro 1984 qualifying
10,12 September 1984,"Wembley Stadium, London, England",East Germany,1–0,1–0,Friendly
11,17 October 1984,"Wembley Stadium, London, England",Finland,4–0,5–0,1986 FIFA World Cup qualification
12,18 November 1984,"Besiktas Inonu Stadium, Istanbul, Turkey",Turkey,1–0,8–0,1986 FIFA World Cup qualification
13,18 November 1984,"Besiktas Inonu Stadium, Istanbul, Turkey",Turkey,3–0,8–0,1986 FIFA World Cup qualification
14,18 November 1984,"Besiktas Inonu Stadium, Istanbul, Turkey",Turkey,6–0,8–0,1986 FIFA World Cup qualification
15,12 June 1985,"Estadio Azteca, Mexico City, Mexico",West Germany,1–0,3–0,Azteca 2000 Tournament
16,16 October 1985,"Wembley Stadium, London, England",Turkey,3–0,5–0,1986 FIFA World Cup qualification
17,26 February 1986,"Ramat Gan Stadium, Ramat Gan, Israel",Israel,1–1,8–0,Friendly
18,26 February 1986,"Ramat Gan Stadium, Ramat Gan, Israel",Israel,2–1,8–0,Friendly
19,1 April 1987,"Windsor Park, Belfast, Northern Ireland",Northern Ireland,1–0,2–0,UEFA Euro 1988 qualifying
20,14 October 1987,"Wembley Stadium, London, England",Turkey,1–0,8–0,UEFA Euro 1988 qualifying
21,11 November 1987,"Red Star Stadium, Belgrade, Yugoslavia",Yugoslavia,3–0,4–1,UEFA Euro 1988 qualifying
22,15 June 1988,"Rheinstadion, Düsseldorf, West Germany",Netherlands,1–1,1–3,UEFA Euro 1988
23,8 February 1989,"Olympic Stadium, Athens, Greece",Greece,2–1,2–1,Friendly
24,8 March 1989,"Arena Kombëtare, Tirana, Albania",Albania,2–0,2–0,1990 FIFA World Cup qualification
25,13 December 1989,"Wembley Stadium, London, England",Yugoslavia,1–0,2–1,Friendly
26,13 December 1989,"Wembley Stadium, London, England",Yugoslavia,2–1,2–1,Friendly
