# Appearances and goals by club, season and competition<
Club,Season,League Division,League Apps,League Goals,FA Cup Apps,FA Cup Goals,League Cup Apps,League Cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Ashton United,1960–61,Lancashire Combination,7,1,0,0,0,0,0,0,0,0,7,1
Blackpool,1962–63,First Division,5,0,0,0,0,0,0,0,0,0,5,0
Blackpool,1963–64,First Division,31,13,2,0,1,1,0,0,0,0,34,14
Blackpool,1964–65,First Division,39,11,1,1,2,1,0,0,0,0,42,13
Blackpool,1965–66,First Division,41,16,2,0,2,1,0,0,0,0,45,17
Blackpool,Total,Total,116,40,5,1,5,3,0,0,0,0,126,44
Everton,1966–67,First Division,41,15,6,2,0,0,4,1,0,0,51,18
Everton,1967–68,First Division,34,20,4,0,2,0,0,0,0,0,40,20
Everton,1968–69,First Division,40,16,5,0,4,2,0,0,0,0,49,18
Everton,1969–70,First Division,37,10,1,1,3,1,0,0,0,0,41,12
Everton,1970–71,First Division,39,2,6,3,3,1,6,3,1,0,55,9
Everton,1971–72,First Division,17,3,0,0,1,0,0,0,0,0,18,3
Everton,Total,Total,208,66,22,6,13,4,10,4,1,0,254,80
Arsenal,1971–72,First Division,18,3,9,2,0,0,0,0,0,0,27,5
Arsenal,1972–73,First Division,40,10,8,4,3,0,0,0,0,0,51,14
Arsenal,1973–74,First Division,36,13,3,0,1,0,0,0,0,0,40,13
Arsenal,1974–75,First Division,30,9,8,1,0,0,0,0,0,0,38,10
Arsenal,1975–76,First Division,39,9,1,0,2,0,0,0,0,0,42,9
Arsenal,1976–77,First Division,14,1,0,0,6,0,0,0,0,0,20,1
Arsenal,Total,Total,177,45,29,7,12,0,0,0,0,0,218,52
Hellenic (loan),1976,National Football League (South Africa),4,0,0,0,0,0,0,0,0,0,4,0
Southampton,1976–77,Second Division,23,1,6,1,0,0,0,0,0,0,29,2
Southampton,1977–78,Second Division,41,5,4,0,3,0,0,0,0,0,48,5
Southampton,1978–79,First Division,42,2,6,1,8,0,0,0,0,0,56,3
Southampton,1979–80,First Division,26,1,1,0,1,0,0,0,0,0,28,1
Southampton,Total,Total,132,9,17,2,12,0,0,0,0,0,161,11
Philadelphia Fury (loan),1978,NASL,25,5,–,–,–,–,–,–,–,–,25,5
Philadelphia Fury (loan),1979,NASL,8,0,–,–,–,–,–,–,–,–,8,0
Philadelphia Fury (loan),Total,Total,33,5,–,–,–,–,–,–,–,–,33,5
Vancouver Whitecaps,1979,NASL,15,8,–,–,–,–,–,–,–,–,15,8
Vancouver Whitecaps,1980,NASL,16,2,–,–,–,–,–,–,–,–,16,2
Vancouver Whitecaps,Total,Total,31,10,–,–,–,–,–,–,–,–,31,10
Blackpool,1980–81,Third Division,30,5,2,0,3,0,0,0,3,0,38,5
Southampton,1980–81,First Division,10,0,0,0,0,0,0,0,0,0,10,0
Southampton,1981–82,First Division,41,1,1,0,1,0,4,0,0,0,47,1
Southampton,1982–83,First Division,12,1,0,0,2,0,2,0,0,0,16,1
Southampton,Total,Total,63,2,1,0,3,0,6,0,0,0,73,2
Floreat Athena (loan),1982,West Australian Football League,3,2,0,0,0,0,0,0,0,0,3,2
Eastern,1982–83,Hong Kong First Division League,,,,,,,,,,,12+,0+
Bristol Rovers,1983–84,Third Division,17,2,0,0,0,0,0,0,0,0,17,2
Career total,Career total,Career total,821+,187+,76+,16+,48+,7+,16+,4+,4+,0+,977+,214+
