# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,State league Apps,State league Goals,National cup Apps,National cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
São Paulo,1989,Série A,3,0,0,0,0.0,0.0,0,0,0,0,3,0
São Paulo,1990,Série A,20,1,21,3,4.0,0.0,0,0,1,1,45,5
São Paulo,1991,Série A,20,1,31,3,0.0,0.0,0,0,0,0,52,4
São Paulo,1992,Série A,21,1,22,4,0.0,0.0,16,0,0,0,59,5
São Paulo,1993,Série A,18,1,27,14,2.0,0.0,19,3,2,1,68,19
São Paulo,1994,Série A,16,3,17,2,0.0,0.0,12,0,0,0,45,5
São Paulo,Total,Total,98,7,118,26,6.0,0.0,47,3,3,2,272,38
Zaragoza,1994–95,La Liga,16,0,—,—,2.0,0.0,1,0,—,—,19,0
Juventude,1995,Série A,0,0,2,0,,,,,,,2,0
Palmeiras,1995,Série A,19,0,,,,,,,,,19,0
Palmeiras,1996,Série A,22,2,,,7.0,2.0,,,,,29,4
Palmeiras,1997,Série A,0,0,,,,,,,,,0,0
Palmeiras,Total,Total,41,2,,,7.0,2.0,,,,,48,4
Roma,1997–98,Serie A,31,1,—,—,5.0,0.0,—,—,—,—,36,1
Roma,1998–99,Serie A,20,1,—,—,0.0,0.0,5,0,—,—,25,1
Roma,1999–2000,Serie A,28,2,—,—,4.0,0.0,5,0,—,—,37,2
Roma,2000–01,Serie A,31,1,—,—,2.0,0.0,7,0,—,—,40,1
Roma,2001–02,Serie A,27,0,—,—,1.0,0.0,10,2,0,0,38,2
Roma,2002–03,Serie A,26,0,—,—,3.0,1.0,12,0,—,—,41,1
Roma,Total,Total,163,5,—,—,15.0,1.0,39,2,0,0,217,8
AC Milan,2003–04,Serie A,28,1,—,—,1.0,0.0,9,0,3,0,41,1
AC Milan,2004–05,Serie A,33,1,—,—,0.0,0.0,12,0,1,0,46,1
AC Milan,2005–06,Serie A,19,1,—,—,1.0,0.0,5,0,—,—,25,1
AC Milan,2006–07,Serie A,24,0,—,—,3.0,0.0,8,0,—,—,35,0
AC Milan,2007–08,Serie A,15,1,—,—,2.0,0.0,1,0,1,0,19,1
AC Milan,Total,Total,119,4,—,—,7.0,0.0,35,0,5,0,166,4
Career total,Career total,Career total,437,18,120,26,37.0,3.0,122,5,8,2,724,54
