# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,State league Apps,State league Goals,Cup Apps,Cup Goals,Continental Apps,Continental Goals,Total Apps,Total Goals
Guarani,1978,Série A,28.0,13.0,21,12,,,—,—,49.0,25.0
Guarani,1979,Série A,1.0,0.0,49,16,,,7,0,57.0,16.0
Guarani,1980,Série A,17.0,7.0,38,16,,,—,—,55.0,23.0
Guarani,1981,Série A,14.0,8.0,34,13,,,—,—,48.0,21.0
Guarani,1982,Série A,17.0,18.0,28,11,,,—,—,45.0,29.0
Guarani,Total,Total,77.0,46.0,170,68,,,7,0,254.0,114.0
São Paulo,1983,Série A,20.0,17.0,33,15,,,—,—,53.0,32.0
São Paulo,1984,Série A,,,37,14,,,—,—,37.0,14.0
São Paulo,1985,Série A,17.0,12.0,31,23,,,—,—,48.0,35.0
São Paulo,1986,Série A,30.0,25.0,13,7,,,—,—,43.0,32.0
São Paulo,1987,Série A,,,,,,,2,1,2.0,1.0
São Paulo,Total,Total,67.0,54.0,114,59,,,2,1,183.0,114.0
Napoli,1987–88,Serie A,26.0,13.0,—,—,7,5.0,1,0,34.0,18.0
Napoli,1988–89,Serie A,30.0,19.0,—,—,10,2.0,12,6,52.0,27.0
Napoli,1989–90,Serie A,22.0,10.0,—,—,1,0.0,6,2,29.0,12.0
Napoli,1990–91,Serie A,29.0,9.0,—,—,7,3.0,2,0,38.0,12.0
Napoli,1991–92,Serie A,33.0,15.0,—,—,4,2.0,—,—,37.0,17.0
Napoli,1992–93,Serie A,24.0,7.0,—,—,3,3.0,—,—,27.0,10.0
Napoli,Total,Total,164.0,73.0,—,—,32,15.0,21,8,217.0,96.0
Kashiwa Reysol,1993,Football League,,,—,—,6,4.0,—,—,6.0,4.0
Kashiwa Reysol,1994,Football League,25.0,19.0,—,—,1,1.0,—,—,26.0,20.0
Kashiwa Reysol,1995,J1 League,30.0,10.0,—,—,,,—,—,30.0,10.0
Kashiwa Reysol,1996,J1 League,5.0,2.0,—,—,6,3.0,—,—,11.0,5.0
Kashiwa Reysol,Total,Total,60.0,31.0,—,—,13,8.0,—,—,73.0,39.0
Santos,1997,Série A,,,,,,,,,,
Career total,Career total,Career total,368.0,204.0,284,127,45,23.0,30,9,727.0,363.0
