# List of international goals scored by Carlos Tevez
No.,Date,Venue,Opponent,Score,Result,Competition
1,17 July 2004,"Estadio Elías Aguirre, Chiclayo, Peru",Peru,1–0,1–0,2004 Copa América
2,20 July 2004,"Estadio Nacional de Lima, Lima, Peru",Colombia,1–0,3–0,2004 Copa América
3,1 March 2006,"St. Jakob-Park, Basel, Switzerland",Croatia,1–1,2–3,Friendly
4,16 June 2006,"Veltins-Arena, Gelsenkirchen, Germany",Serbia and Montenegro,5–0,6–0,2006 FIFA World Cup
5,2 June 2007,"St. Jakob-Park, Basel, Switzerland",Switzerland,1–0,1–1,Friendly
6,5 June 2007,"Camp Nou, Barcelona, Spain",Algeria,1–0,4–3,Friendly
7,28 June 2007,"Estadio José Pachencho Romero, Maracaibo, Venezuela",United States,4–1,4–1,2007 Copa América
8,28 March 2009,"Estadio Monumental Antonio Vespucio Liberti, Buenos Aires, Argentina",Venezuela,2–0,4–0,2010 FIFA World Cup qualification
9,24 May 2010,"Estadio Monumental Antonio Vespucio Liberti, Buenos Aires, Argentina",Canada,4–0,5–0,Friendly
10,27 June 2010,"FNB Stadium, Johannesburg, South Africa",Mexico,1–0,3–1,2010 FIFA World Cup
11,27 June 2010,"FNB Stadium, Johannesburg, South Africa",Mexico,3–0,3–1,2010 FIFA World Cup
12,7 September 2010,"Estadio Monumental Antonio Vespucio Liberti, Buenos Aires, Argentina",Spain,3–0,4–1,Friendly
13,20 June 2011,"Estadio Monumental Antonio Vespucio Liberti, Buenos Aires, Argentina",Albania,4–0,4–0,Friendly
