# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Cup Apps,Cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Unión Magdalena,1981,Categoría Primera A,15,1,1,0,–,–,–,–,16,1
Unión Magdalena,1982,Categoría Primera A,43,2,–,–,–,–,–,–,43,2
Unión Magdalena,1983,Categoría Primera A,36,2,–,–,–,–,–,–,36,2
Unión Magdalena,Total,Total,94,5,1,0,–,–,–,–,95,5
Millonarios,1984,Categoría Primera A,33,0,–,–,–,–,–,–,33,0
Deportivo Cali,1985,Categoría Primera A,48,13,–,–,–,–,–,–,48,13
Deportivo Cali,1986,Categoría Primera A,46,5,–,–,6,0,–,–,52,5
Deportivo Cali,1987,Categoría Primera A,37,4,–,–,6,1,–,–,43,5
Deportivo Cali,Total,Total,131,22,–,–,12,1,–,–,143,23
Montpellier,1988–89,Division 1,24,1,2,0,1,0,–,–,27,1
Montpellier,1989–90,Division 1,18,1,5,1,–,–,–,–,23,2
Montpellier,1990–91,Division 1,35,2,2,0,4,0,–,–,41,2
Montpellier,Total,Total,77,4,9,1,5,0,–,–,91,5
Real Valladolid,1991–92,La Liga,17,1,4,0,–,–,–,–,21,1
Independiente Medellín,1992,Categoría Primera A,10,1,–,–,–,–,–,–,10,1
Atlético Junior,1993,Categoría Primera A,35,4,–,–,–,–,–,–,35,4
Atlético Junior,1994,Categoría Primera A,18,1,–,–,7,0,–,–,25,1
Atlético Junior,1995,Categoría Primera A,29,0,–,–,–,–,–,–,29,0
Atlético Junior,Total,Total,82,5,–,–,7,0,–,–,89,5
Tampa Bay Mutiny,1996,MLS,23,4,1,1,–,–,4,0,28,5
Tampa Bay Mutiny,1997,MLS,20,3,1,0,–,–,2,0,23,3
Tampa Bay Mutiny,Total,Total,43,7,2,1,–,–,6,0,51,8
Deportivo Cali (loan),1996–97,Categoría Primera A,18,4,–,–,3,1,–,–,21,5
Miami Fusion,1998,MLS,18,2,1,0,–,–,2,0,21,2
Miami Fusion,1999,MLS,4,1,–,–,–,–,–,–,4,1
Miami Fusion,Total,Total,22,3,1,0,–,–,2,0,25,3
Tampa Bay Mutiny,1999,MLS,27,3,2,0,–,–,2,0,31,3
Tampa Bay Mutiny,2000,MLS,32,1,2,0,–,–,2,0,36,1
Tampa Bay Mutiny,2001,MLS,12,1,1,0,–,–,–,–,13,1
Tampa Bay Mutiny,Total,Total,71,5,5,0,–,–,4,0,80,5
Colorado Rapids,2001,MLS,12,0,–,–,–,–,–,–,12,0
Colorado Rapids,2002,MLS,27,1,2,0,–,–,5,1,34,2
Colorado Rapids,Total,Total,39,1,2,0,–,–,5,1,46,2
Career total,Career total,Career total,637,58,24,2,27,2,17,1,705,63
