# List of international goals scored by Carlos Valderrama
No.,Date,Venue,Opponent,Score,Result,Competition
1,1 July 1987,"Estadio Gigante de Arroyito, Rosario, Argentina",Bolivia,1–0,2–0,1987 Copa América
2,30 March 1988,"Estadio Centenario, Armenia, Colombia",Canada,2–0,3–0,Friendly
3,24 June 1989,"Miami Orange Bowl, Miami, United States",United States,1–0,1–0,Friendly
4,27 June 1989,"Miami Orange Bowl, Miami, United States",Haiti,3–0,4–0,Friendly
5,9 June 1990,"Stadio Renato Dall'Ara, Bologna, Italy",United Arab Emirates,2–0,2–0,1990 FIFA World Cup
6,22 July 1995,"Estadio Domingo Burgueño, Maldonado, Uruguay",United States,2–0,4–1,1995 Copa América
7,7 July 1996,"Estadio Metropolitano Roberto Meléndez, Barranquilla, Colombia",Uruguay,2–0,3–1,1998 FIFA World Cup qualification
8,20 August 1997,"Estadio Metropolitano Roberto Meléndez, Barranquilla, Colombia",Bolivia,2–0,3–0,1998 FIFA World Cup qualification
9,16 November 1997,"Estadio Alberto J. Armando, Buenos Aires, Argentina",Argentina,1–0,1–1,1998 FIFA World Cup qualification
10,23 May 1998,"Giants Stadium, East Rutherford, United States",Scotland,1–0,2–2,Friendly
11,31 May 1998,"Waldstadion, Frankfurt, Germany",Germany,1–3,1–3,Friendly
