# List of international goals scored by Cesc Fàbregas
No.,Date,Venue,Cap,Opponent,Score,Result,Competition
1,10 June 2008,"Tivoli-Neu, Innsbruck, Austria",27,Russia,4–1,4–1,UEFA Euro 2008
2,14 June 2009,"Royal Bafokeng Stadium, Phokeng, South Africa",39,New Zealand,4–0,5–0,2009 FIFA Confederations Cup
3,9 September 2009,"Estadio Romano, Mérida, Spain",44,Estonia,1–0,3–0,2010 FIFA World Cup qualification
4,10 October 2009,"Vazgen Sargsyan Republican Stadium, Yerevan, Armenia",45,Armenia,1–0,2–1,2010 FIFA World Cup qualification
5,18 November 2009,"Ernst-Happel-Stadion, Vienna, Austria",47,Austria,1–1,5–1,Friendly
6,8 June 2010,"Estadio de La Condomina, Murcia, Spain",50,Poland,4–0,6–0,Friendly
7,2 September 2011,"AFG Arena, St. Gallen, Switzerland",59,Chile,2–2,3–2,Friendly
8,2 September 2011,"AFG Arena, St. Gallen, Switzerland",59,Chile,3–2,3–2,Friendly
9,10 June 2012,"Stadion Energa Gdańsk, Gdańsk, Poland",64,Italy,1–1,1–1,UEFA Euro 2012
10,14 June 2012,"Stadion Energa Gdańsk, Gdańsk, Poland",65,Republic of Ireland,4–0,4–0,UEFA Euro 2012
11,15 August 2012,"Juan Ramón Loubriel Stadium, Bayamón, Puerto Rico",70,Puerto Rico,2–0,2–1,Friendly
12,6 February 2013,"Khalifa International Stadium, Doha, Qatar",76,Uruguay,1–0,3–1,Friendly
13,8 June 2013,"Sun Life Stadium, Miami Gardens, United States",79,Haiti,2–0,2–1,Friendly
14,11 June 2015,"Estadio Reino de León, Castile and León, Spain",96,Costa Rica,2–1,2–1,Friendly
15,1 June 2016,"Red Bull Arena, Salzburg, Austria",105,South Korea,2–0,6–1,Friendly
