# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Partick Thistle,1973–74,Scottish Division One,1,0,,,,,–,–,–,–,1,0
Partick Thistle,1974–75,Scottish Division One,29,0,,,,,–,–,–,–,29,0
Partick Thistle,1975–76,Scottish First Division,21,2,,,,,–,–,–,–,21,2
Partick Thistle,1976–77,Scottish Premier Division,35,4,,,,,–,–,–,–,35,4
Partick Thistle,Total,Total,86,6,,,,,–,–,–,–,86,6
Liverpool,1977–78,First Division,18,0,1.0,0.0,3.0,0.0,4,1,0,0,26,1
Liverpool,1978–79,First Division,34,1,6.0,1.0,0.0,0.0,0,0,2,0,42,2
Liverpool,1979–80,First Division,38,4,8.0,0.0,5.0,0.0,1,0,1,0,53,4
Liverpool,1980–81,First Division,36,1,0.0,0.0,8.0,1.0,9,1,1,0,54,3
Liverpool,1981–82,First Division,35,0,3.0,1.0,8.0,0.0,5,1,1,0,60,2
Liverpool,1982–83,First Division,34,0,3.0,0.0,8.0,0.0,6,0,1,0,52,0
Liverpool,1983–84,First Division,42,1,2.0,0.0,13.0,0.0,9,0,1,0,67,1
Liverpool,1984–85,First Division,41,0,7.0,0.0,2.0,0.0,9,0,3,0,62,0
Liverpool,1985–86,First Division,41,0,8.0,0.0,7.0,0.0,–,–,4,0,60,0
Liverpool,1986–87,First Division,39,0,3.0,0.0,9.0,0.0,–,–,2,0,53,0
Liverpool,1987–88,First Division,39,1,7.0,0.0,3.0,0.0,–,–,0,0,49,1
Liverpool,1988–89,First Division,6,0,2.0,0.0,0.0,0.0,–,–,0,0,8,0
Liverpool,1989–90,First Division,31,0,8.0,0.0,2.0,0.0,–,–,1,0,42,0
Liverpool,Total,Total,434,8,58.0,2.0,68.0,1.0,43,3,17,0,620,14
Career total,Career total,Career total,520,14,58.0,2.0,68.0,1.0,43,3,17,0,706,20
