# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Norwich City,1990–91,First Division,2,0,0,0,0,0,—,—,0,0,2,0
Norwich City,1991–92,First Division,21,2,6,3,2,0,—,—,0,0,29,5
Norwich City,1992–93,Premier League,38,8,2,0,3,2,—,—,—,—,43,10
Norwich City,1993–94,Premier League,41,25,2,2,4,1,6,0,—,—,53,28
Norwich City,Total,Total,102,35,10,5,9,3,6,0,—,—,127,43
Blackburn Rovers,1994–95,Premier League,40,15,2,2,4,3,2,1,—,—,48,21
Blackburn Rovers,1995–96,Premier League,13,0,0,0,3,1,6,0,1,0,23,1
Blackburn Rovers,1996–97,Premier League,25,11,2,0,2,1,0,0,—,—,29,12
Blackburn Rovers,1997–98,Premier League,35,18,4,2,2,1,0,0,—,—,41,21
Blackburn Rovers,1998–99,Premier League,17,3,1,0,1,1,1,0,—,—,20,4
Blackburn Rovers,Total,Total,130,47,9,4,12,7,9,1,1,0,161,59
Chelsea,1999–2000,Premier League,28,1,4,1,0,0,7,1,—,—,39,3
Celtic,2000–01,Scottish Premier League,24,11,4,0,3,2,4,1,—,—,35,14
Celtic,2001–02,Scottish Premier League,18,4,2,0,2,0,8,3,—,—,30,7
Celtic,2002–03,Scottish Premier League,28,15,1,0,2,0,12,4,—,—,43,19
Celtic,2003–04,Scottish Premier League,25,19,4,2,1,0,14,7,—,—,44,28
Celtic,2004–05,Scottish Premier League,27,12,5,3,0,0,5,1,—,—,37,16
Celtic,2005–06,Scottish Premier League,8,2,—,—,1,0,1,0,—,—,10,2
Celtic,Total,Total,130,63,16,5,9,2,44,16,—,—,199,86
Birmingham City,2005–06,Premier League,10,1,1,0,—,—,—,—,—,—,11,1
Aston Villa,2006–07,Premier League,8,1,0,0,1,0,—,—,—,—,9,1
Career total,Career total,Career total,408,148,40,15,31,12,66,18,1,0,546,193
