# List of international goals scored by Christian Eriksen
No.,Date,Venue,Cap,Opponent,Score,Result,Competition
1,4 June 2011,"Laugardalsvöllur, Reykjavík, Iceland",14,Iceland,2–0,2–0,UEFA Euro 2012 qualifying
2,10 August 2011,"Hampden Park, Glasgow, Scotland",15,Scotland,1–1,1–2,Friendly
3,5 June 2013,"Aalborg Stadium, Aalborg, Denmark",35,Georgia,2–1,2–1,Friendly
4,14 August 2013,"Stadion Energa Gdańsk, Gdańsk, Poland",37,Poland,1–1,2–3,Friendly
5,22 May 2014,"Nagyerdei Stadion, Debrecen, Hungary",43,Hungary,1–1,2–2,Friendly
6,8 June 2015,"Viborg Stadium, Viborg, Denmark",52,Montenegro,1–1,2–1,Friendly
7,7 June 2016,"Suita City Football Stadium, Suita, Japan",61,Bulgaria,2–0,4–0,2016 Kirin Cup
8,7 June 2016,"Suita City Football Stadium, Suita, Japan",61,Bulgaria,3–0,4–0,2016 Kirin Cup
9,7 June 2016,"Suita City Football Stadium, Suita, Japan",61,Bulgaria,4–0,4–0,2016 Kirin Cup
10,4 September 2016,"Parken Stadium, Copenhagen, Denmark",63,Armenia,1–0,1–0,2018 FIFA World Cup qualification
11,11 November 2016,"Parken Stadium, Copenhagen, Denmark",66,Kazakhstan,2–1,4–1,2018 FIFA World Cup qualification
12,11 November 2016,"Parken Stadium, Copenhagen, Denmark",66,Kazakhstan,4–1,4–1,2018 FIFA World Cup qualification
13,6 June 2017,"Brøndby Stadium, Brøndbyvester, Denmark",68,Germany,1–0,1–1,Friendly
14,10 June 2017,"Almaty Central Stadium, Almaty, Kazakhstan",69,Kazakhstan,2–0,3–1,2018 FIFA World Cup qualification
15,1 September 2017,"Parken Stadium, Copenhagen, Denmark",70,Poland,4–0,4–0,2018 FIFA World Cup qualification
16,4 September 2017,"Vazgen Sargsyan Republican Stadium, Yerevan, Armenia",71,Armenia,2–1,4–1,2018 FIFA World Cup qualification
17,5 October 2017,"City Stadium, Podgorica, Montenegro",72,Montenegro,1–0,1–0,2018 FIFA World Cup qualification
18,8 October 2017,"Parken Stadium, Copenhagen, Denmark",73,Romania,1–0,1–1,2018 FIFA World Cup qualification
19,14 November 2017,"Aviva Stadium, Dublin, Ireland",75,Republic of Ireland,2–1,5–1,2018 FIFA World Cup qualification
20,14 November 2017,"Aviva Stadium, Dublin, Ireland",75,Republic of Ireland,3–1,5–1,2018 FIFA World Cup qualification
21,14 November 2017,"Aviva Stadium, Dublin, Ireland",75,Republic of Ireland,4–1,5–1,2018 FIFA World Cup qualification
22,9 June 2018,"Brøndby Stadium, Brøndbyvester, Denmark",78,Mexico,2–0,2–0,Friendly
23,21 June 2018,"Samara Arena, Samara, Russia",80,Australia,1–0,1–1,2018 FIFA World Cup
24,9 September 2018,"Ceres Park, Aarhus, Denmark",83,Wales,1–0,2–0,2018–19 UEFA Nations League B
25,9 September 2018,"Ceres Park, Aarhus, Denmark",83,Wales,2–0,2–0,2018–19 UEFA Nations League B
26,21 March 2019,"Fadil Vokrri Stadium, Pristina, Kosovo",86,Kosovo,1–1,2–2,Friendly
27,10 June 2019,"Parken Stadium, Copenhagen, Denmark",89,Georgia,2–1,5–1,UEFA Euro 2020 qualifying
28,5 September 2019,"Victoria Stadium, Gibraltar",90,Gibraltar,2–0,6–0,UEFA Euro 2020 qualifying
29,5 September 2019,"Victoria Stadium, Gibraltar",90,Gibraltar,3–0,6–0,UEFA Euro 2020 qualifying
30,15 November 2019,"Parken Stadium, Copenhagen, Denmark",94,Gibraltar,5–0,6–0,UEFA Euro 2020 qualifying
31,15 November 2019,"Parken Stadium, Copenhagen, Denmark",94,Gibraltar,6–0,6–0,UEFA Euro 2020 qualifying
32,7 October 2020,"MCH Arena, Herning, Denmark",98,Faroe Islands,2–0,4–0,Friendly
33,11 October 2020,"Laugardalsvöllur, Reykjavík, Iceland",99,Iceland,2–0,3–0,2020–21 UEFA Nations League A
34,14 October 2020,"Wembley Stadium, London, England",100,England,1–0,1–0,2020–21 UEFA Nations League A
35,15 November 2020,"Parken Stadium, Copenhagen, Denmark",102,Iceland,1–0,2–1,2020–21 UEFA Nations League A
36,15 November 2020,"Parken Stadium, Copenhagen, Denmark",102,Iceland,2–1,2–1,2020–21 UEFA Nations League A
37,26 March 2022,"Johan Cruyff Arena, Amsterdam, Netherlands",110,Netherlands,2–3,2–4,Friendly
38,29 March 2022,"Parken Stadium, Copenhagen, Denmark",111,Serbia,3–0,3–0,Friendly
39,22 September 2022,"Stadion Maksimir, Zagreb, Croatia",116,Croatia,1–1,1–2,2022–23 UEFA Nations League A
40,7 September 2023,"Parken Stadium, Copenhagen, Denmark",123,San Marino,4–0,4–0,UEFA Euro 2024 qualifying
41,5 June 2024,"Parken Stadium, Copenhagen, Denmark",129,Sweden,2–1,2–1,Friendly
42,16 June 2024,"MHPArena, Stuttgart, Germany",131,Slovenia,1–0,1–1,UEFA Euro 2024
43,15 October 2024,"Kybunpark, St. Gallen, Switzerland",138,Switzerland,2–2,2–2,2024–25 UEFA Nations League A
44,23 March 2025,"Estádio José Alvalade, Lisbon, Portugal",142,Portugal,2–2,2–5 (a.e.t.),2024–25 UEFA Nations League A
45,7 June 2025,"Parken Stadium, Copenhagen, Denmark",143,Northern Ireland,2–1,2–1,Friendly
46,10 June 2025,"Nature Energy Park, Odense, Denmark",144,Lithuania,2–0,5–0,Friendly
