# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Ajax,1992–93,Eredivisie,12,1,3,0,3,0,–,–,18,1
Ajax,1993–94,Eredivisie,19,4,2,0,2,0,1,0,24,4
Ajax,1994–95,Eredivisie,34,6,3,0,11,0,1,0,49,6
Ajax,Total,Total,65,11,8,0,16,0,2,0,91,11
Sampdoria,1995–96,Serie A,32,3,2,1,–,–,–,–,34,4
Real Madrid,1996–97,La Liga,38,6,4,0,–,–,–,–,42,6
Real Madrid,1997–98,La Liga,36,6,0,0,11,0,2,1,49,7
Real Madrid,1998–99,La Liga,37,3,5,1,8,3,2,0,52,7
Real Madrid,1999–2000,La Liga,10,0,0,0,6,0,0,0,16,0
Real Madrid,Total,Total,121,15,9,1,25,3,4,1,159,20
Inter Milan,1999–2000,Serie A,20,3,5,2,–,–,–,–,25,5
Inter Milan,2000–01,Serie A,24,2,4,0,7,3,1,0,36,5
Inter Milan,2001–02,Serie A,20,3,2,1,10,0,–,–,32,4
Inter Milan,Total,Total,64,8,11,3,17,3,1,0,93,14
AC Milan,2002–03,Serie A,29,4,3,2,16,1,–,–,48,7
AC Milan,2003–04,Serie A,29,3,5,0,8,0,3,0,45,3
AC Milan,2004–05,Serie A,32,5,4,1,13,1,0,0,49,7
AC Milan,2005–06,Serie A,36,4,2,1,11,1,–,–,49,6
AC Milan,2006–07,Serie A,32,7,5,0,14,3,–,–,51,10
AC Milan,2007–08,Serie A,32,7,0,0,7,2,3,1,42,10
AC Milan,2008–09,Serie A,33,6,1,0,7,0,–,–,41,6
AC Milan,2009–10,Serie A,29,5,0,0,8,1,–,–,37,6
AC Milan,2010–11,Serie A,30,4,2,0,8,0,–,–,40,4
AC Milan,2011–12,Serie A,18,2,3,1,8,0,1,0,30,3
AC Milan,Total,Total,300,47,25,5,100,9,7,1,432,62
Botafogo,2012,Série A,24,8,0,0,1,1,0,0,25,9
Botafogo,2013,Série A,34,8,8,0,0,0,0,0,42,8
Botafogo,Total,Total,58,16,8,0,1,1,0,0,67,17
Career total,Career total,Career total,640,100,57,7,159,16,14,2,842,124
