# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Nantes,1992–93,Division 1,34,1,6,0,—,—,—,—,—,—,40,1
Nantes,1993–94,Division 1,30,0,4,1,—,—,2,0,—,—,36,1
Nantes,1994–95,Division 1,36,3,2,0,1,1,8,1,—,—,47,5
Nantes,1995–96,Division 1,33,0,1,0,1,0,9,0,1,0,45,0
Nantes,1996–97,Division 1,36,5,0,0,1,0,0,0,—,—,37,5
Nantes,Total,Total,169,9,13,1,3,1,19,1,1,0,205,12
Marseille,1997–98,Division 1,32,2,2,0,2,1,—,—,—,—,36,3
Celta Vigo,1998–99,La Liga,36,2,1,0,—,—,7,0,—,—,44,2
Celta Vigo,1999–2000,La Liga,34,1,1,0,—,—,9,3,—,—,44,4
Celta Vigo,Total,Total,70,3,0,0,0,0,16,3,0,0,88,6
Real Madrid,2000–01,La Liga,33,0,0,0,—,—,14,1,2,0,49,1
Real Madrid,2001–02,La Liga,32,1,6,0,—,—,13,0,2,0,53,1
Real Madrid,2002–03,La Liga,29,0,0,0,—,—,11,0,2,0,42,0
Real Madrid,2003–04,La Liga,—,—,—,—,—,—,—,—,1,0,1,0
Real Madrid,Total,Total,94,1,1,0,0,0,38,1,7,0,145,2
Chelsea,2003–04,Premier League,30,0,3,0,2,0,11,0,—,—,46,0
Chelsea,2004–05,Premier League,36,1,0,0,4,0,10,0,—,—,50,1
Chelsea,2005–06,Premier League,31,0,3,0,0,0,6,0,1,0,41,0
Chelsea,2006–07,Premier League,29,1,2,0,6,0,9,0,—,—,46,1
Chelsea,2007–08,Premier League,18,0,1,0,2,0,13,0,—,—,34,0
Chelsea,Total,Total,144,2,9,0,14,0,49,0,1,0,217,2
Paris Saint-Germain,2008–09,Ligue 1,34,0,1,0,0,0,5,0,—,—,40,0
Paris Saint-Germain,2009–10,Ligue 1,31,1,5,0,0,0,—,—,—,—,36,1
Paris Saint-Germain,2010–11,Ligue 1,33,0,3,0,2,0,3,0,1,0,42,0
Paris Saint-Germain,Total,Total,98,1,9,0,2,0,8,0,1,0,118,1
Career total,Career total,Career total,607,17,34,1,21,2,130,5,10,0,809,25
