# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Continental Apps,Continental Goals,Other1 Apps,Other1 Goals,Total Apps,Total Goals
River Plate,1985–86,Argentine Primera División,1,0,–,–,–,–,–,–,1,0
River Plate,1986–87,Argentine Primera División,24,3,–,–,–,–,–,–,24,3
River Plate,1987–88,Argentine Primera División,28,5,–,–,–,–,–,–,28,5
River Plate,Total,Total,53,8,–,–,–,–,–,–,53,8
Verona,1988–89,Serie A,21,3,9,3,–,–,–,–,30,6
Atalanta,1989–90,Serie A,31,8,3,2,2,0,–,–,36,10
Atalanta,1990–91,Serie A,23,10,–,–,5,0,–,–,28,10
Atalanta,1991–92,Serie A,31,8,4,1,–,–,–,–,35,9
Atalanta,Total,Total,85,26,7,3,7,0,–,–,99,29
Roma,1992–93,Serie A,15,4,6,2,4,3,–,–,25,9
Roma,1993–94,Serie A,–,–,–,–,–,–,–,–,–,–
Roma,Total,Total,15,4,6,2,4,3,–,–,25,9
Benfica,1994–95,Primeira Divisão,24,8,3,5,7,3,–,–,34,16
Boca Juniors,1995–96,Argentine Primera División,29,12,–,–,–,–,–,–,29,12
Boca Juniors,1996–97,Argentine Primera División,–,–,–,–,–,–,–,–,–,–
Boca Juniors,1997–98,Argentine Primera División,17,5,–,–,–,–,–,–,17,5
Boca Juniors,1998–99,Argentine Primera División,12,5,–,–,–,–,–,–,12,5
Boca Juniors,Total,Total,58,22,–,–,–,–,–,–,58,22
Atalanta,1999–2000,Serie B,17,1,3,1,–,–,–,–,20,2
Dundee,2000–01,Scottish Premier League,21,7,–,–,–,–,–,–,21,7
Rangers,2001–02,Scottish Premier League,24,5,3,0,11,2,4,2,42,9
Rangers,2002–03,Scottish Premier League,26,8,4,1,2,0,4,3,36,12
Rangers,Total,Total,50,13,7,1,13,2,8,5,78,21
Qatar SC,2003–04,Qatar Stars League,15,5,–,–,–,–,–,–,15,5
Career total,Career total,Career total,359,97,35,15,31,8,8,5,433,125
