# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National Cup Apps,National Cup Goals,League Cup Apps,League Cup Goals,Continental Apps,Continental Goals,Total Apps,Total Goals
Norwich City,1996–97,First Division,3,0,0,0,0,0,—,—,3,0
Norwich City,1997–98,First Division,36,13,1,0,1,0,—,—,38,13
Norwich City,1998–99,First Division,40,17,0,0,5,2,—,—,45,19
Norwich City,1999–2000,First Division,4,2,0,0,0,0,—,—,4,2
Norwich City,2000–01,First Division,1,0,0,0,0,0,—,—,1,0
Norwich City,Total,Total,84,32,1,0,6,2,0,0,91,34
Coventry City,2000–01,Premier League,34,6,2,1,3,1,—,—,39,8
Newcastle United,2001–02,Premier League,27,9,3,0,3,4,6,1,39,14
Newcastle United,2002–03,Premier League,29,7,1,0,0,0,6,2,36,9
Newcastle United,2003–04,Premier League,16,5,0,0,0,0,8,5,24,10
Newcastle United,2004–05,Premier League,21,7,1,0,2,0,5,3,29,10
Newcastle United,Total,Total,127,34,7,1,8,5,25,11,167,51
Celtic (loan),2004–05,Scottish Premier League,12,7,3,2,0,0,—,—,15,9
Blackburn Rovers,2005–06,Premier League,27,13,1,2,4,2,—,—,32,17
Liverpool,2006–07,Premier League,27,7,0,0,2,0,12,2,41,9
West Ham United,2007–08,Premier League,8,2,0,0,1,2,—,—,9,4
West Ham United,2008–09,Premier League,16,5,1,0,0,0,—,—,17,5
West Ham United,Total,Total,90,34,5,4,7,4,12,2,114,44
Manchester City,2008–09,Premier League,8,2,0,0,0,0,3,2,11,4
Manchester City,2009–10,Premier League,32,10,3,1,5,0,—,—,40,11
Manchester City,Total,Total,40,12,3,1,5,0,3,2,51,15
Cardiff City (loan),2010–11,Championship,35,11,0,0,0,0,—,—,35,11
Liverpool,2011–12,Premier League,27,6,3,1,6,2,—,—,36,9
Cardiff City,2012–13,Championship,33,4,0,0,0,0,—,—,33,4
Cardiff City,2013–14,Premier League,22,2,0,0,0,0,—,—,22,2
Cardiff City,Total,Total,117,23,3,1,6,2,0,0,126,26
Career total,Career total,Career total,458,135,19,7,32,13,40,15,549,170
