# List of international goals scored by Craig Bellamy
No.,Date,Venue,Opponent,Score,Result,Competition
1,3 June 1998,"Ta' Qali National Stadium, Attard, Malta",Malta,1–0,3–0,Friendly
2,10 October 1998,"Parken Stadium, Copenhagen, Denmark",Denmark,2–1,2–1,UEFA Euro 2000 Qual.
3,5 September 2001,"Ullevaal Stadion, Oslo, Norway",Norway,2–1,2–3,2002 World Cup Qual.
4,13 February 2002,"Millennium Stadium, Cardiff, Wales",Argentina,1–0,1–1,Friendly
5,16 October 2002,"Millennium Stadium, Cardiff, Wales",Italy,2–1,2–1,UEFA Euro 2004 Qual.
6,29 March 2003,"Millennium Stadium, Cardiff, Wales",Azerbaijan,1–0,4–0,UEFA Euro 2004 Qual.
7,18 August 2004,"Skonto Stadium, Riga, Latvia",Latvia,2–0,2–0,Friendly
8,9 February 2005,"Millennium Stadium, Cardiff, Wales",Hungary,1–0,2–0,Friendly
9,9 February 2005,"Millennium Stadium, Cardiff, Wales",Hungary,2–0,2–0,Friendly
10,11 October 2006,"Millennium Stadium, Cardiff, Wales",Cyprus,3–0,3–1,UEFA Euro 2008 Qual.
11,14 November 2006,"Racecourse Ground, Wrexham, Wales",Liechtenstein,3–0,4–0,Friendly
12,26 May 2007,"Racecourse Ground, Wrexham, Wales",New Zealand,1–1,2–2,Friendly
13,26 May 2007,"Racecourse Ground, Wrexham, Wales",New Zealand,2–2,2–2,Friendly
14,12 September 2007,"Štadión Antona Malatinského, Trnava, Slovakia",Slovakia,2–1,5–2,UEFA Euro 2008 Qual.
15,12 September 2007,"Štadión Antona Malatinského, Trnava, Slovakia",Slovakia,3–1,5–2,UEFA Euro 2008 Qual.
16,19 November 2008,"Brøndby Stadium, Brøndby, Denmark",Denmark,1–0,1–0,Friendly
17,10 October 2009,"Helsinki Olympic Stadium, Helsinki, Finland",Finland,1–1,1–2,2010 World Cup Qual.
18,11 August 2010,"Parc y Scarlets, Llanelli, Wales",Luxembourg,5–1,5–1,Friendly
19,12 November 2011,"Cardiff City Stadium, Cardiff, Wales",Norway,2–0,4–1,Friendly
