# Appearances and goals by national team, year and competition
Team,Year,Competitive Apps,Competitive Goals,Friendly Apps,Friendly Goals,Total Apps,Total Goals
Portugal U15,2001,2,1,7,6,9,7
Portugal U17,2001,—,—,3,2,3,2
Portugal U17,2002,4,3,—,—,4,3
Portugal U17,Total,4,3,3,2,7,5
Portugal U20,2003,—,—,5,1,5,1
Portugal U21,2002,0,0,1,1,1,1
Portugal U21,2003,7,2,2,0,9,2
Portugal U21,Total,7,2,3,1,10,3
Portugal U23,2004,2,1,1,1,3,2
Portugal,2003,—,—,2,0,2,0
Portugal,2004,11,7,5,0,16,7
Portugal,2005,7,2,4,0,11,2
Portugal,2006,10,4,4,2,14,6
Portugal,2007,9,5,1,0,10,5
Portugal,2008,5,1,3,0,8,1
Portugal,2009,5,0,2,1,7,1
Portugal,2010,6,3,5,0,11,3
Portugal,2011,6,5,2,2,8,7
Portugal,2012,9,4,4,1,13,5
Portugal,2013,6,7,3,3,9,10
Portugal,2014,5,3,4,2,9,5
Portugal,2015,4,3,1,0,5,3
Portugal,2016,10,10,3,3,13,13
Portugal,2017,10,10,1,1,11,11
Portugal,2018,4,4,3,2,7,6
Portugal,2019,10,14,—,—,10,14
Portugal,2020,4,2,2,1,6,3
Portugal,2021,11,11,3,2,14,13
Portugal,2022,12,3,—,—,12,3
Portugal,2023,9,10,—,—,9,10
Portugal,2024,10,5,2,2,12,7
Portugal,2025,6,6,0,0,6,6
Portugal,Total,169,119,54,22,223,141
Career total,Career total,184,126,73,33,257,159
