# Table 4
Team,Nat,From,To,Record M,Record W,Record D,Record L,Record Win %,.mw-parser-output .tooltip-dotted{border-bottom:1px dotted;cursor:help}Ref.
Sportul Studențesc,,20 July 2003,3 December 2003,22,16,3,3,72.73,
Rapid București,,8 December 2003,14 April 2004,7,3,2,2,42.86,
Sportul Studențesc,,17 June 2004,5 December 2005,50,21,13,16,42.0,
Wisła Kraków,,7 December 2005,18 September 2006,23,14,6,3,60.87,
Unirea Urziceni,,25 September 2006,26 December 2009,130,64,36,30,49.23,
Kuban Krasnodar,,28 December 2009,14 August 2012,88,41,24,23,46.59,
Dynamo Moscow,,17 August 2012,8 April 2014,55,28,14,13,50.91,
Al-Arabi,,5 June 2014,1 December 2014,11,3,5,3,27.27,
ASA Târgu Mureș,,10 June 2015,9 July 2015,1,1,0,0,100.0,
Jiangsu Suning,,12 July 2015,3 June 2016,36,15,12,9,41.67,
Kuban Krasnodar,,14 June 2016,4 October 2016,16,3,7,6,18.75,
Al Nasr,,29 October 2016,26 May 2017,26,13,5,8,50.0,
CFR Cluj,,10 June 2017,4 June 2018,37,23,10,4,62.16,
Guizhou Hengfeng,,7 June 2018,21 March 2019,23,7,4,12,30.43,
CFR Cluj,,22 March 2019,30 November 2020,90,47,23,20,52.22,
Kayserispor,,11 January 2021,23 February 2021,8,2,3,3,25.0,
CFR Cluj,,31 August 2021,8 June 2023,103,55,22,26,53.4,
Jeonbuk Hyundai Motors,,9 June 2023,5 April 2024,38,15,11,12,39.47,
CFR Cluj,,30 April 2024,22 August 2025,69,33,23,13,47.83,
Total,Total,Total,Total,833,407,221,205,48.86,—
