# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Bahia,2001,Série A,6,0,0,0,—,—,—,—,—,—,6,0
Bahia,2002,Série A,19,2,6,2,—,—,—,—,6,1,31,5
Bahia,Total,Total,25,2,6,2,—,—,—,—,6,1,37,5
Sevilla,2002–03,La Liga,10,0,1,0,—,—,—,—,—,—,11,0
Sevilla,2003–04,La Liga,29,1,7,1,—,—,—,—,—,—,36,2
Sevilla,2004–05,La Liga,33,2,5,0,—,—,9,0,—,—,47,2
Sevilla,2005–06,La Liga,36,3,2,0,—,—,14,0,—,—,52,3
Sevilla,2006–07,La Liga,34,3,8,0,—,—,14,2,1,0,57,5
Sevilla,2007–08,La Liga,33,2,3,0,—,—,8,2,3,0,47,4
Sevilla,Total,Total,175,11,26,1,—,—,45,4,4,0,250,16
Barcelona,2008–09,La Liga,34,5,8,0,—,—,12,0,—,—,54,5
Barcelona,2009–10,La Liga,29,3,3,0,—,—,11,0,5,0,48,3
Barcelona,2010–11,La Liga,35,2,5,0,—,—,12,2,2,0,54,4
Barcelona,2011–12,La Liga,33,2,5,1,—,—,10,0,4,0,52,3
Barcelona,2012–13,La Liga,30,0,6,0,—,—,10,1,1,0,47,1
Barcelona,2013–14,La Liga,27,2,5,0,—,—,8,2,2,0,42,4
Barcelona,2014–15,La Liga,30,0,5,0,—,—,11,0,—,—,46,0
Barcelona,2015–16,La Liga,29,0,6,1,—,—,8,0,5,0,48,1
Barcelona,Total,Total,247,14,43,2,—,—,82,5,19,0,391,21
Juventus,2016–17,Serie A,19,2,2,1,—,—,12,3,0,0,33,6
Paris Saint-Germain,2017–18,Ligue 1,25,1,4,0,3,1,8,2,1,1,41,5
Paris Saint-Germain,2018–19,Ligue 1,23,1,4,2,2,0,3,0,0,0,32,3
Paris Saint-Germain,Total,Total,48,2,8,2,5,1,11,2,1,1,73,8
São Paulo,2019,Série A,20,2,—,—,—,—,—,—,—,—,20,2
São Paulo,2020,Série A,30,1,6,0,—,—,6,2,11,4,53,7
São Paulo,2021,Série A,6,0,1,0,—,—,6,0,9,1,22,1
São Paulo,Total,Total,56,3,7,0,—,—,12,2,20,5,95,10
Barcelona,2021–22,La Liga,14,1,2,0,—,—,0,0,1,0,17,1
UNAM,2022–23,Liga MX,13,0,—,—,—,—,—,—,—,—,13,0
Career total,Career total,Career total,597,35,94,8,5,1,162,15,51,7,909,67
